location,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita
alabama,2016,1.09,0.26,0.65,2.01
alabama,2015,1.11,0.26,0.64,2.01
alabama,2014,1.1300000000000001,0.25,0.62,2
alabama,2013,1.1400000000000001,0.25,0.6,1.99
alabama,2012,1.1600000000000001,0.24000000000000002,0.6,2
alabama,2011,1.1600000000000001,0.24000000000000002,0.59,1.98
alabama,2010,1.1700000000000002,0.23,0.58,1.98
alabama,2009,1.1900000000000002,0.22,0.5700000000000001,1.98
alabama,2008,1.22,0.22,0.5700000000000001,2.01
alabama,2007,1.23,0.22,0.55,2
alabama,2006,1.21,0.21000000000000002,0.54,1.95
alabama,2005,1.1800000000000002,0.2,0.53,1.91
alabama,2004,1.1900000000000002,0.2,0.52,1.91
alabama,2003,1.1900000000000002,0.19,0.52,1.9
alabama,2002,1.1800000000000002,0.21000000000000002,0.54,1.92
alabama,2001,1.1600000000000001,0.17,0.53,1.86
alabama,2000,1.1900000000000002,0.18,0.51,1.8800000000000001
alabama,1999,1.1800000000000002,0.17,0.51,1.87
alabama,1998,1.1600000000000001,0.17,0.51,1.85
alabama,1997,1.1400000000000001,0.16,0.52,1.82
alabama,1996,1.1700000000000002,0.18,0.53,1.8800000000000001
alabama,1995,1.1400000000000001,0.16,0.53,1.82
alabama,1994,1.1600000000000001,0.17,0.54,1.87
alabama,1993,1.1400000000000001,0.17,0.56,1.86
alabama,1992,1.02,0.19,0.59,1.79
alabama,1991,1,0.17,0.59,1.76
alabama,1990,1.12,0.18,0.61,1.92
alabama,1989,1.12,0.17,0.61,1.9
alabama,1988,1.12,0.19,0.62,1.92
alabama,1987,1.11,0.18,0.62,1.91
alabama,1986,1.1,0.18,0.65,1.92
alabama,1985,1.07,0.17,0.6699999999999999,1.92
alabama,1984,1.03,0.19,0.69,1.91
alabama,1983,1.01,0.17,0.72,1.9
