State,State Code,Year,Year Code,Month,Month Code,Deaths
Alabama,1,1999,1999,"Jan., 1999",1999/01,31
Alabama,1,1999,1999,"Feb., 1999",1999/02,39
Alabama,1,1999,1999,"Mar., 1999",1999/03,28
Alabama,1,1999,1999,"Apr., 1999",1999/04,44
Alabama,1,1999,1999,"May, 1999",1999/05,43
Alabama,1,1999,1999,"Jun., 1999",1999/06,36
Alabama,1,1999,1999,"Jul., 1999",1999/07,27
Alabama,1,1999,1999,"Aug., 1999",1999/08,44
Alabama,1,1999,1999,"Sep., 1999",1999/09,37
Alabama,1,1999,1999,"Oct., 1999",1999/10,37
Alabama,1,1999,1999,"Nov., 1999",1999/11,31
Alabama,1,1999,1999,"Dec., 1999",1999/12,39
Alabama,1,2000,2000,"Jan., 2000",2000/01,42
Alabama,1,2000,2000,"Feb., 2000",2000/02,36
Alabama,1,2000,2000,"Mar., 2000",2000/03,39
Alabama,1,2000,2000,"Apr., 2000",2000/04,42
Alabama,1,2000,2000,"May, 2000",2000/05,32
Alabama,1,2000,2000,"Jun., 2000",2000/06,45
Alabama,1,2000,2000,"Jul., 2000",2000/07,31
Alabama,1,2000,2000,"Aug., 2000",2000/08,37
Alabama,1,2000,2000,"Sep., 2000",2000/09,34
Alabama,1,2000,2000,"Oct., 2000",2000/10,33
Alabama,1,2000,2000,"Nov., 2000",2000/11,26
Alabama,1,2000,2000,"Dec., 2000",2000/12,31
Alabama,1,2001,2001,"Jan., 2001",2001/01,32
Alabama,1,2001,2001,"Feb., 2001",2001/02,30
Alabama,1,2001,2001,"Mar., 2001",2001/03,37
Alabama,1,2001,2001,"Apr., 2001",2001/04,25
Alabama,1,2001,2001,"May, 2001",2001/05,34
Alabama,1,2001,2001,"Jun., 2001",2001/06,27
Alabama,1,2001,2001,"Jul., 2001",2001/07,33
Alabama,1,2001,2001,"Aug., 2001",2001/08,36
Alabama,1,2001,2001,"Sep., 2001",2001/09,30
Alabama,1,2001,2001,"Oct., 2001",2001/10,40
Alabama,1,2001,2001,"Nov., 2001",2001/11,35
Alabama,1,2001,2001,"Dec., 2001",2001/12,30
Alabama,1,2002,2002,"Jan., 2002",2002/01,25
Alabama,1,2002,2002,"Feb., 2002",2002/02,37
Alabama,1,2002,2002,"Mar., 2002",2002/03,29
Alabama,1,2002,2002,"Apr., 2002",2002/04,31
Alabama,1,2002,2002,"May, 2002",2002/05,34
Alabama,1,2002,2002,"Jun., 2002",2002/06,35
Alabama,1,2002,2002,"Jul., 2002",2002/07,34
Alabama,1,2002,2002,"Aug., 2002",2002/08,36
Alabama,1,2002,2002,"Sep., 2002",2002/09,37
Alabama,1,2002,2002,"Oct., 2002",2002/10,28
Alabama,1,2002,2002,"Nov., 2002",2002/11,24
Alabama,1,2002,2002,"Dec., 2002",2002/12,32
Alabama,1,2003,2003,"Jan., 2003",2003/01,42
Alabama,1,2003,2003,"Feb., 2003",2003/02,22
Alabama,1,2003,2003,"Mar., 2003",2003/03,32
Alabama,1,2003,2003,"Apr., 2003",2003/04,30
Alabama,1,2003,2003,"May, 2003",2003/05,30
Alabama,1,2003,2003,"Jun., 2003",2003/06,30
Alabama,1,2003,2003,"Jul., 2003",2003/07,40
Alabama,1,2003,2003,"Aug., 2003",2003/08,36
Alabama,1,2003,2003,"Sep., 2003",2003/09,28
Alabama,1,2003,2003,"Oct., 2003",2003/10,39
Alabama,1,2003,2003,"Nov., 2003",2003/11,30
Alabama,1,2003,2003,"Dec., 2003",2003/12,40
Alabama,1,2004,2004,"Jan., 2004",2004/01,36
Alabama,1,2004,2004,"Feb., 2004",2004/02,37
Alabama,1,2004,2004,"Mar., 2004",2004/03,27
Alabama,1,2004,2004,"Apr., 2004",2004/04,20
Alabama,1,2004,2004,"May, 2004",2004/05,26
Alabama,1,2004,2004,"Jun., 2004",2004/06,38
Alabama,1,2004,2004,"Jul., 2004",2004/07,32
Alabama,1,2004,2004,"Aug., 2004",2004/08,32
Alabama,1,2004,2004,"Sep., 2004",2004/09,33
Alabama,1,2004,2004,"Oct., 2004",2004/10,23
Alabama,1,2004,2004,"Nov., 2004",2004/11,37
Alabama,1,2004,2004,"Dec., 2004",2004/12,35
Alabama,1,2005,2005,"Jan., 2005",2005/01,43
Alabama,1,2005,2005,"Feb., 2005",2005/02,21
