State,State Code,Year,Year Code,Month,Month Code,Deaths
Alabama,1,1999,1999,"Jan., 1999",1999/01,43
Alabama,1,1999,1999,"Feb., 1999",1999/02,49
Alabama,1,1999,1999,"Mar., 1999",1999/03,33
Alabama,1,1999,1999,"Apr., 1999",1999/04,52
Alabama,1,1999,1999,"May, 1999",1999/05,55
Alabama,1,1999,1999,"Jun., 1999",1999/06,46
Alabama,1,1999,1999,"Jul., 1999",1999/07,34
Alabama,1,1999,1999,"Aug., 1999",1999/08,57
Alabama,1,1999,1999,"Sep., 1999",1999/09,48
Alabama,1,1999,1999,"Oct., 1999",1999/10,49
Alabama,1,1999,1999,"Nov., 1999",1999/11,41
Alabama,1,1999,1999,"Dec., 1999",1999/12,48
Alabama,1,2000,2000,"Jan., 2000",2000/01,57
Alabama,1,2000,2000,"Feb., 2000",2000/02,53
Alabama,1,2000,2000,"Mar., 2000",2000/03,48
Alabama,1,2000,2000,"Apr., 2000",2000/04,49
Alabama,1,2000,2000,"May, 2000",2000/05,49
Alabama,1,2000,2000,"Jun., 2000",2000/06,58
Alabama,1,2000,2000,"Jul., 2000",2000/07,41
Alabama,1,2000,2000,"Aug., 2000",2000/08,50
Alabama,1,2000,2000,"Sep., 2000",2000/09,51
Alabama,1,2000,2000,"Oct., 2000",2000/10,48
Alabama,1,2000,2000,"Nov., 2000",2000/11,37
Alabama,1,2000,2000,"Dec., 2000",2000/12,42
Alabama,1,2001,2001,"Jan., 2001",2001/01,43
Alabama,1,2001,2001,"Feb., 2001",2001/02,41
Alabama,1,2001,2001,"Mar., 2001",2001/03,44
Alabama,1,2001,2001,"Apr., 2001",2001/04,27
Alabama,1,2001,2001,"May, 2001",2001/05,41
Alabama,1,2001,2001,"Jun., 2001",2001/06,38
Alabama,1,2001,2001,"Jul., 2001",2001/07,45
Alabama,1,2001,2001,"Aug., 2001",2001/08,51
Alabama,1,2001,2001,"Sep., 2001",2001/09,47
Alabama,1,2001,2001,"Oct., 2001",2001/10,50
Alabama,1,2001,2001,"Nov., 2001",2001/11,51
Alabama,1,2001,2001,"Dec., 2001",2001/12,41
Alabama,1,2002,2002,"Jan., 2002",2002/01,44
Alabama,1,2002,2002,"Feb., 2002",2002/02,50
Alabama,1,2002,2002,"Mar., 2002",2002/03,40
Alabama,1,2002,2002,"Apr., 2002",2002/04,45
Alabama,1,2002,2002,"May, 2002",2002/05,45
Alabama,1,2002,2002,"Jun., 2002",2002/06,46
Alabama,1,2002,2002,"Jul., 2002",2002/07,47
Alabama,1,2002,2002,"Aug., 2002",2002/08,42
Alabama,1,2002,2002,"Sep., 2002",2002/09,51
Alabama,1,2002,2002,"Oct., 2002",2002/10,35
Alabama,1,2002,2002,"Nov., 2002",2002/11,36
Alabama,1,2002,2002,"Dec., 2002",2002/12,43
Alabama,1,2003,2003,"Jan., 2003",2003/01,52
Alabama,1,2003,2003,"Feb., 2003",2003/02,26
Alabama,1,2003,2003,"Mar., 2003",2003/03,43
Alabama,1,2003,2003,"Apr., 2003",2003/04,40
Alabama,1,2003,2003,"May, 2003",2003/05,42
Alabama,1,2003,2003,"Jun., 2003",2003/06,46
Alabama,1,2003,2003,"Jul., 2003",2003/07,50
Alabama,1,2003,2003,"Aug., 2003",2003/08,48
Alabama,1,2003,2003,"Sep., 2003",2003/09,37
Alabama,1,2003,2003,"Oct., 2003",2003/10,48
Alabama,1,2003,2003,"Nov., 2003",2003/11,47
Alabama,1,2003,2003,"Dec., 2003",2003/12,53
Alabama,1,2004,2004,"Jan., 2004",2004/01,49
Alabama,1,2004,2004,"Feb., 2004",2004/02,55
Alabama,1,2004,2004,"Mar., 2004",2004/03,37
Alabama,1,2004,2004,"Apr., 2004",2004/04,34
Alabama,1,2004,2004,"May, 2004",2004/05,46
Alabama,1,2004,2004,"Jun., 2004",2004/06,53
Alabama,1,2004,2004,"Jul., 2004",2004/07,45
Alabama,1,2004,2004,"Aug., 2004",2004/08,52
Alabama,1,2004,2004,"Sep., 2004",2004/09,44
Alabama,1,2004,2004,"Oct., 2004",2004/10,37
Alabama,1,2004,2004,"Nov., 2004",2004/11,52
Alabama,1,2004,2004,"Dec., 2004",2004/12,55
Alabama,1,2005,2005,"Jan., 2005",2005/01,54
Alabama,1,2005,2005,"Feb., 2005",2005/02,33
Alabama,1,2005,2005,"Mar., 2005",2005/03,48
Alabama,1,2005,2005,"Apr., 2005",2005/04,46
Alabama,1,2005,2005,"May, 2005",2005/05,49
Alabama,1,2005,2005,"Jun., 2005",2005/06,35
Alabama,1,2005,2005,"Jul., 2005",2005/07,44
Alabama,1,2005,2005,"Aug., 2005",2005/08,48
Alabama,1,2005,2005,"Sep., 2005",2005/09,43
Alabama,1,2005,2005,"Oct., 2005",2005/10,58
Alabama,1,2005,2005,"Nov., 2005",2005/11,55
Alabama,1,2005,2005,"Dec., 2005",2005/12,38
Alabama,1,2006,2006,"Jan., 2006",2006/01,32
Alabama,1,2006,2006,"Feb., 2006",2006/02,52
Alabama,1,2006,2006,"Mar., 2006",2006/03,54
Alabama,1,2006,2006,"Apr., 2006",2006/04,60
Alabama,1,2006,2006,"May, 2006",2006/05,53
Alabama,1,2006,2006,"Jun., 2006",2006/06,49
Alabama,1,2006,2006,"Jul., 2006",2006/07,53
Alabama,1,2006,2006,"Aug., 2006",2006/08,38
Alabama,1,2006,2006,"Sep., 2006",2006/09,56
Alabama,1,2006,2006,"Oct., 2006",2006/10,51
Alabama,1,2006,2006,"Nov., 2006",2006/11,44
Alabama,1,2006,2006,"Dec., 2006",2006/12,44
Alabama,1,2007,2007,"Jan., 2007",2007/01,54
Alabama,1,2007,2007,"Feb., 2007",2007/02,40
Alabama,1,2007,2007,"Mar., 2007",2007/03,39
Alabama,1,2007,2007,"Apr., 2007",2007/04,34
Alabama,1,2007,2007,"May, 2007",2007/05,57
Alabama,1,2007,2007,"Jun., 2007",2007/06,53
Alabama,1,2007,2007,"Jul., 2007",2007/07,58
Alabama,1,2007,2007,"Aug., 2007",2007/08,63
Alabama,1,2007,2007,"Sep., 2007",2007/09,53
Alabama,1,2007,2007,"Oct., 2007",2007/10,44
Alabama,1,2007,2007,"Nov., 2007",2007/11,52
Alabama,1,2007,2007,"Dec., 2007",2007/12,50
Alabama,1,2008,2008,"Jan., 2008",2008/01,61
Alabama,1,2008,2008,"Feb., 2008",2008/02,50
Alabama,1,2008,2008,"Mar., 2008",2008/03,46
Alabama,1,2008,2008,"Apr., 2008",2008/04,51
Alabama,1,2008,2008,"May, 2008",2008/05,56
Alabama,1,2008,2008,"Jun., 2008",2008/06,48
Alabama,1,2008,2008,"Jul., 2008",2008/07,63
Alabama,1,2008,2008,"Aug., 2008",2008/08,49
Alabama,1,2008,2008,"Sep., 2008",2008/09,47
Alabama,1,2008,2008,"Oct., 2008",2008/10,55
Alabama,1,2008,2008,"Nov., 2008",2008/11,45
Alabama,1,2008,2008,"Dec., 2008",2008/12,34
Alabama,1,2009,2009,"Jan., 2009",2009/01,66
Alabama,1,2009,2009,"Feb., 2009",2009/02,51
Alabama,1,2009,2009,"Mar., 2009",2009/03,63
Alabama,1,2009,2009,"Apr., 2009",2009/04,52
Alabama,1,2009,2009,"May, 2009",2009/05,54
Alabama,1,2009,2009,"Jun., 2009",2009/06,62
Alabama,1,2009,2009,"Jul., 2009",2009/07,58
Alabama,1,2009,2009,"Aug., 2009",2009/08,68
Alabama,1,2009,2009,"Sep., 2009",2009/09,40
Alabama,1,2009,2009,"Oct., 2009",2009/10,68
Alabama,1,2009,2009,"Nov., 2009",2009/11,48
Alabama,1,2009,2009,"Dec., 2009",2009/12,44
Alabama,1,2010,2010,"Jan., 2010",2010/01,61
Alabama,1,2010,2010,"Feb., 2010",2010/02,57
Alabama,1,2010,2010,"Mar., 2010",2010/03,73
Alabama,1,2010,2010,"Apr., 2010",2010/04,54
Alabama,1,2010,2010,"May, 2010",2010/05,63
Alabama,1,2010,2010,"Jun., 2010",2010/06,58
Alabama,1,2010,2010,"Jul., 2010",2010/07,55
Alabama,1,2010,2010,"Aug., 2010",2010/08,58
Alabama,1,2010,2010,"Sep., 2010",2010/09,46
Alabama,1,2010,2010,"Oct., 2010",2010/10,56
Alabama,1,2010,2010,"Nov., 2010",2010/11,56
Alabama,1,2010,2010,"Dec., 2010",2010/12,44
Alabama,1,2011,2011,"Jan., 2011",2011/01,62
Alabama,1,2011,2011,"Feb., 2011",2011/02,45
Alabama,1,2011,2011,"Mar., 2011",2011/03,63
Alabama,1,2011,2011,"Apr., 2011",2011/04,62
Alabama,1,2011,2011,"May, 2011",2011/05,68
Alabama,1,2011,2011,"Jun., 2011",2011/06,58
Alabama,1,2011,2011,"Jul., 2011",2011/07,59
Alabama,1,2011,2011,"Aug., 2011",2011/08,57
Alabama,1,2011,2011,"Sep., 2011",2011/09,41
Alabama,1,2011,2011,"Oct., 2011",2011/10,39
Alabama,1,2011,2011,"Nov., 2011",2011/11,55
Alabama,1,2011,2011,"Dec., 2011",2011/12,53
Alabama,1,2012,2012,"Jan., 2012",2012/01,54
Alabama,1,2012,2012,"Feb., 2012",2012/02,52
Alabama,1,2012,2012,"Mar., 2012",2012/03,60
Alabama,1,2012,2012,"Apr., 2012",2012/04,69
Alabama,1,2012,2012,"May, 2012",2012/05,60
Alabama,1,2012,2012,"Jun., 2012",2012/06,65
Alabama,1,2012,2012,"Jul., 2012",2012/07,75
Alabama,1,2012,2012,"Aug., 2012",2012/08,67
Alabama,1,2012,2012,"Sep., 2012",2012/09,65
Alabama,1,2012,2012,"Oct., 2012",2012/10,60
Alabama,1,2012,2012,"Nov., 2012",2012/11,56
Alabama,1,2012,2012,"Dec., 2012",2012/12,43
Alabama,1,2013,2013,"Jan., 2013",2013/01,52
Alabama,1,2013,2013,"Feb., 2013",2013/02,53
Alabama,1,2013,2013,"Mar., 2013",2013/03,65
Alabama,1,2013,2013,"Apr., 2013",2013/04,56
Alabama,1,2013,2013,"May, 2013",2013/05,65
Alabama,1,2013,2013,"Jun., 2013",2013/06,55
Alabama,1,2013,2013,"Jul., 2013",2013/07,58
Alabama,1,2013,2013,"Aug., 2013",2013/08,62
Alabama,1,2013,2013,"Sep., 2013",2013/09,67
Alabama,1,2013,2013,"Oct., 2013",2013/10,63
Alabama,1,2013,2013,"Nov., 2013",2013/11,64
Alabama,1,2013,2013,"Dec., 2013",2013/12,61
Alabama,1,2014,2014,"Jan., 2014",2014/01,54
Alabama,1,2014,2014,"Feb., 2014",2014/02,59
Alabama,1,2014,2014,"Mar., 2014",2014/03,69
Alabama,1,2014,2014,"Apr., 2014",2014/04,56
Alabama,1,2014,2014,"May, 2014",2014/05,45
Alabama,1,2014,2014,"Jun., 2014",2014/06,57
Alabama,1,2014,2014,"Jul., 2014",2014/07,49
Alabama,1,2014,2014,"Aug., 2014",2014/08,67
Alabama,1,2014,2014,"Sep., 2014",2014/09,75
Alabama,1,2014,2014,"Oct., 2014",2014/10,69
Alabama,1,2014,2014,"Nov., 2014",2014/11,66
Alabama,1,2014,2014,"Dec., 2014",2014/12,56
Alabama,1,2015,2015,"Jan., 2015",2015/01,79
Alabama,1,2015,2015,"Feb., 2015",2015/02,47
Alabama,1,2015,2015,"Mar., 2015",2015/03,71
Alabama,1,2015,2015,"Apr., 2015",2015/04,49
Alabama,1,2015,2015,"May, 2015",2015/05,59
Alabama,1,2015,2015,"Jun., 2015",2015/06,73
Alabama,1,2015,2015,"Jul., 2015",2015/07,75
Alabama,1,2015,2015,"Aug., 2015",2015/08,67
Alabama,1,2015,2015,"Sep., 2015",2015/09,71
Alabama,1,2015,2015,"Oct., 2015",2015/10,55
Alabama,1,2015,2015,"Nov., 2015",2015/11,52
Alabama,1,2015,2015,"Dec., 2015",2015/12,53
Alabama,1,2016,2016,"Jan., 2016",2016/01,61
Alabama,1,2016,2016,"Feb., 2016",2016/02,78
Alabama,1,2016,2016,"Mar., 2016",2016/03,72
Alabama,1,2016,2016,"Apr., 2016",2016/04,64
Alabama,1,2016,2016,"May, 2016",2016/05,71
Alabama,1,2016,2016,"Jun., 2016",2016/06,57
Alabama,1,2016,2016,"Jul., 2016",2016/07,69
Alabama,1,2016,2016,"Aug., 2016",2016/08,78
Alabama,1,2016,2016,"Sep., 2016",2016/09,64
Alabama,1,2016,2016,"Oct., 2016",2016/10,65
Alabama,1,2016,2016,"Nov., 2016",2016/11,57
Alabama,1,2016,2016,"Dec., 2016",2016/12,57
Alaska,2,1999,1999,"Jan., 1999",1999/01,10
Alaska,2,1999,1999,"Feb., 1999",1999/02,14
Alaska,2,1999,1999,"Mar., 1999",1999/03,10
Alaska,2,1999,1999,"Jul., 1999",1999/07,15
Alaska,2,1999,1999,"Sep., 1999",1999/09,10
Alaska,2,2000,2000,"Jan., 2000",2000/01,21
Alaska,2,2000,2000,"Apr., 2000",2000/04,10
Alaska,2,2000,2000,"May, 2000",2000/05,14
Alaska,2,2000,2000,"Jun., 2000",2000/06,14
Alaska,2,2000,2000,"Jul., 2000",2000/07,10
Alaska,2,2000,2000,"Aug., 2000",2000/08,12
Alaska,2,2000,2000,"Oct., 2000",2000/10,11
Alaska,2,2000,2000,"Nov., 2000",2000/11,11
Alaska,2,2000,2000,"Dec., 2000",2000/12,13
Alaska,2,2001,2001,"May, 2001",2001/05,15
Alaska,2,2001,2001,"Sep., 2001",2001/09,13
Alaska,2,2001,2001,"Nov., 2001",2001/11,12
Alaska,2,2001,2001,"Dec., 2001",2001/12,13
Alaska,2,2002,2002,"Jan., 2002",2002/01,10
Alaska,2,2002,2002,"Feb., 2002",2002/02,14
Alaska,2,2002,2002,"Mar., 2002",2002/03,13
Alaska,2,2002,2002,"Apr., 2002",2002/04,10
Alaska,2,2002,2002,"May, 2002",2002/05,11
Alaska,2,2002,2002,"Jun., 2002",2002/06,11
Alaska,2,2002,2002,"Jul., 2002",2002/07,14
Alaska,2,2002,2002,"Aug., 2002",2002/08,13
Alaska,2,2002,2002,"Sep., 2002",2002/09,14
Alaska,2,2003,2003,"Jan., 2003",2003/01,10
Alaska,2,2003,2003,"Feb., 2003",2003/02,15
Alaska,2,2003,2003,"Mar., 2003",2003/03,12
Alaska,2,2003,2003,"May, 2003",2003/05,11
Alaska,2,2003,2003,"Jun., 2003",2003/06,16
Alaska,2,2003,2003,"Jul., 2003",2003/07,11
Alaska,2,2003,2003,"Nov., 2003",2003/11,10
Alaska,2,2003,2003,"Dec., 2003",2003/12,12
Alaska,2,2004,2004,"Jan., 2004",2004/01,20
Alaska,2,2004,2004,"Feb., 2004",2004/02,17
Alaska,2,2004,2004,"Mar., 2004",2004/03,11
Alaska,2,2004,2004,"Jun., 2004",2004/06,13
Alaska,2,2004,2004,"Aug., 2004",2004/08,14
Alaska,2,2004,2004,"Sep., 2004",2004/09,13
Alaska,2,2004,2004,"Oct., 2004",2004/10,20
Alaska,2,2004,2004,"Nov., 2004",2004/11,11
Alaska,2,2004,2004,"Dec., 2004",2004/12,14
Alaska,2,2005,2005,"Mar., 2005",2005/03,13
Alaska,2,2005,2005,"Apr., 2005",2005/04,12
Alaska,2,2005,2005,"Jun., 2005",2005/06,12
Alaska,2,2005,2005,"Jul., 2005",2005/07,13
Alaska,2,2005,2005,"Aug., 2005",2005/08,10
Alaska,2,2005,2005,"Sep., 2005",2005/09,11
Alaska,2,2005,2005,"Oct., 2005",2005/10,14
Alaska,2,2005,2005,"Nov., 2005",2005/11,13
Alaska,2,2005,2005,"Dec., 2005",2005/12,11
Alaska,2,2006,2006,"Feb., 2006",2006/02,13
Alaska,2,2006,2006,"Mar., 2006",2006/03,15
Alaska,2,2006,2006,"Apr., 2006",2006/04,15
Alaska,2,2006,2006,"May, 2006",2006/05,11
Alaska,2,2006,2006,"Jun., 2006",2006/06,14
