State Code,State,Year Code,Month Code,Deaths
1,Alabama,1999,1999/01,31
1,Alabama,1999,1999/02,39
1,Alabama,1999,1999/03,28
1,Alabama,1999,1999/04,44
1,Alabama,1999,1999/05,43
1,Alabama,1999,1999/06,36
1,Alabama,1999,1999/07,27
1,Alabama,1999,1999/08,44
1,Alabama,1999,1999/09,37
1,Alabama,1999,1999/10,37
1,Alabama,1999,1999/11,31
1,Alabama,1999,1999/12,39
1,Alabama,2000,2000/01,42
1,Alabama,2000,2000/02,36
1,Alabama,2000,2000/03,39
1,Alabama,2000,2000/04,42
1,Alabama,2000,2000/05,32
1,Alabama,2000,2000/06,45
1,Alabama,2000,2000/07,31
1,Alabama,2000,2000/08,37
1,Alabama,2000,2000/09,34
1,Alabama,2000,2000/10,33
1,Alabama,2000,2000/11,26
1,Alabama,2000,2000/12,31
1,Alabama,2001,2001/01,32
1,Alabama,2001,2001/02,30
1,Alabama,2001,2001/03,37
1,Alabama,2001,2001/04,25
1,Alabama,2001,2001/05,34
1,Alabama,2001,2001/06,27
1,Alabama,2001,2001/07,33
1,Alabama,2001,2001/08,36
1,Alabama,2001,2001/09,30
1,Alabama,2001,2001/10,40
1,Alabama,2001,2001/11,35
1,Alabama,2001,2001/12,30
1,Alabama,2002,2002/01,25
1,Alabama,2002,2002/02,37
1,Alabama,2002,2002/03,29
1,Alabama,2002,2002/04,31
1,Alabama,2002,2002/05,34
1,Alabama,2002,2002/06,35
1,Alabama,2002,2002/07,34
1,Alabama,2002,2002/08,36
1,Alabama,2002,2002/09,37
1,Alabama,2002,2002/10,28
1,Alabama,2002,2002/11,24
1,Alabama,2002,2002/12,32
1,Alabama,2003,2003/01,42
1,Alabama,2003,2003/02,22
1,Alabama,2003,2003/03,32
1,Alabama,2003,2003/04,30
1,Alabama,2003,2003/05,30
1,Alabama,2003,2003/06,30
1,Alabama,2003,2003/07,40
1,Alabama,2003,2003/08,36
1,Alabama,2003,2003/09,28
1,Alabama,2003,2003/10,39
1,Alabama,2003,2003/11,30
1,Alabama,2003,2003/12,40
1,Alabama,2004,2004/01,36
1,Alabama,2004,2004/02,37
1,Alabama,2004,2004/03,27
1,Alabama,2004,2004/04,20
1,Alabama,2004,2004/05,26
1,Alabama,2004,2004/06,38
1,Alabama,2004,2004/07,32
1,Alabama,2004,2004/08,32
1,Alabama,2004,2004/09,33
1,Alabama,2004,2004/10,23
1,Alabama,2004,2004/11,37
1,Alabama,2004,2004/12,35
1,Alabama,2005,2005/01,43
1,Alabama,2005,2005/02,21
1,Alabama,2005,2005/03,27
1,Alabama,2005,2005/04,31
1,Alabama,2005,2005/05,37
1,Alabama,2005,2005/06,18
1,Alabama,2005,2005/07,34
1,Alabama,2005,2005/08,31
1,Alabama,2005,2005/09,23
1,Alabama,2005,2005/10,43
1,Alabama,2005,2005/11,33
1,Alabama,2005,2005/12,30
1,Alabama,2006,2006/01,23
1,Alabama,2006,2006/02,37
1,Alabama,2006,2006/03,38
1,Alabama,2006,2006/04,42
1,Alabama,2006,2006/05,36
1,Alabama,2006,2006/06,37
1,Alabama,2006,2006/07,32
1,Alabama,2006,2006/08,24
1,Alabama,2006,2006/09,36
1,Alabama,2006,2006/10,39
1,Alabama,2006,2006/11,25
1,Alabama,2006,2006/12,33
1,Alabama,2007,2007/01,34
1,Alabama,2007,2007/02,27
1,Alabama,2007,2007/03,22
1,Alabama,2007,2007/04,26
1,Alabama,2007,2007/05,34
1,Alabama,2007,2007/06,32
1,Alabama,2007,2007/07,40
1,Alabama,2007,2007/08,42
1,Alabama,2007,2007/09,38
1,Alabama,2007,2007/10,33
1,Alabama,2007,2007/11,38
1,Alabama,2007,2007/12,30
1,Alabama,2008,2008/01,44
1,Alabama,2008,2008/02,36
1,Alabama,2008,2008/03,37
1,Alabama,2008,2008/04,35
1,Alabama,2008,2008/05,33
1,Alabama,2008,2008/06,38
1,Alabama,2008,2008/07,48
1,Alabama,2008,2008/08,32
1,Alabama,2008,2008/09,33
1,Alabama,2008,2008/10,33
1,Alabama,2008,2008/11,33
1,Alabama,2008,2008/12,22
1,Alabama,2009,2009/01,55
1,Alabama,2009,2009/02,34
1,Alabama,2009,2009/03,42
1,Alabama,2009,2009/04,34
1,Alabama,2009,2009/05,35
1,Alabama,2009,2009/06,46
1,Alabama,2009,2009/07,42
1,Alabama,2009,2009/08,41
1,Alabama,2009,2009/09,27
1,Alabama,2009,2009/10,53
1,Alabama,2009,2009/11,38
1,Alabama,2009,2009/12,32
1,Alabama,2010,2010/01,41
1,Alabama,2010,2010/02,46
1,Alabama,2010,2010/03,47
1,Alabama,2010,2010/04,29
1,Alabama,2010,2010/05,41
1,Alabama,2010,2010/06,39
1,Alabama,2010,2010/07,36
1,Alabama,2010,2010/08,33
1,Alabama,2010,2010/09,31
1,Alabama,2010,2010/10,41
1,Alabama,2010,2010/11,38
1,Alabama,2010,2010/12,32
1,Alabama,2011,2011/01,41
1,Alabama,2011,2011/02,31
1,Alabama,2011,2011/03,40
1,Alabama,2011,2011/04,41
1,Alabama,2011,2011/05,50
1,Alabama,2011,2011/06,38
1,Alabama,2011,2011/07,42
1,Alabama,2011,2011/08,43
1,Alabama,2011,2011/09,29
1,Alabama,2011,2011/10,24
1,Alabama,2011,2011/11,40
1,Alabama,2011,2011/12,33
1,Alabama,2012,2012/01,31
1,Alabama,2012,2012/02,32
1,Alabama,2012,2012/03,47
1,Alabama,2012,2012/04,43
1,Alabama,2012,2012/05,42
1,Alabama,2012,2012/06,41
1,Alabama,2012,2012/07,45
1,Alabama,2012,2012/08,48
1,Alabama,2012,2012/09,49
1,Alabama,2012,2012/10,48
1,Alabama,2012,2012/11,47
1,Alabama,2012,2012/12,27
1,Alabama,2013,2013/01,35
1,Alabama,2013,2013/02,40
1,Alabama,2013,2013/03,41
1,Alabama,2013,2013/04,37
1,Alabama,2013,2013/05,42
