REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
0,0,0,United States,0,0,0,281424600,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,308745538,309349689
0,0,0,United States,0,0,1,228106498,228530479,230049196,231446915,232717191,234120447,235491577,236954818,238378087,239783014,241034399,241937061,242295420
0,0,0,United States,0,0,2,35704871,35814706,36263029,36684650,37066096,37510582,37961688,38443048,38935533,39429414,39902270,40250635,40357516
0,0,0,United States,0,0,3,2663851,2684491,2769731,2857113,2947575,3044517,3147772,3258666,3377213,3504878,3636766,3739506,3753858
0,0,0,United States,0,0,4,10589122,10705839,11182404,11649265,12099525,12542740,13007663,13475846,13934641,14395296,14833733,15159516,15239011
0,0,0,United States,0,0,5,462536,467339,487476,507265,526390,547317,568804,590839,613053,635677,657983,674625,677653
0,0,0,United States,0,0,6,3897722,3959557,4217119,4479985,4751156,5039695,5339095,5656695,5992680,6345687,6706378,6984195,7026231
0,0,0,United States,0,1,0,246118224,246500526,247824859,249007573,250058504,251303923,252492985,253773607,255034354,256300181,257444040,258267944,258539476
0,0,0,United States,0,1,1,195576996,195701752,195974813,196140540,196232760,196461761,196620983,196832697,197011394,197183535,197274549,197318956,197380184
0,0,0,United States,0,1,2,34313716,34405800,34780280,35130061,35438251,35797599,36147348,36520961,36905758,37290709,37656592,37922522,38012830
0,0,0,United States,0,1,3,2097464,2101969,2119929,2136918,2152127,2169359,2186123,2203091,2220301,2237304,2252408,2263258,2270371
0,0,0,United States,0,1,4,10356661,10468759,10925853,11372498,11801041,12219990,12657844,13097737,13526680,13955911,14361474,14661516,14738414
0,0,0,United States,0,1,5,367103,370224,383282,396089,408032,421181,434180,447629,460973,474526,487588,497216,499396
0,0,0,United States,0,1,6,3406284,3452022,3640702,3831467,4026293,4234033,4446507,4671492,4909248,5158196,5411429,5604476,5638281
0,0,0,United States,0,2,0,35306376,35661885,37144096,38617620,40049429,41501375,43023614,44606305,46196853,47793785,49327489,50477594,50810213
0,0,0,United States,0,2,1,32529502,32828727,34074383,35306375,36484431,37658686,38870594,40122121,41366693,42599479,43759850,44618105,44915236
0,0,0,United States,0,2,2,1391155,1408906,1482749,1554589,1627845,1712983,1814340,1922087,2029775,2138705,2245678,2328113,2344686
0,0,0,United States,0,2,3,566387,582522,649802,720195,795448,875158,961649,1055575,1156912,1267574,1384358,1476248,1483487
0,0,0,United States,0,2,4,232461,237080,256551,276767,298484,322750,349819,378109,407961,439385,472259,498000,500597
0,0,0,United States,0,2,5,95433,97115,104194,111176,118358,126136,134624,143210,152080,161151,170395,177409,178257
0,0,0,United States,0,2,6,491438,507535,576417,648518,724863,805662,892588,985203,1083432,1187491,1294949,1379719,1387950
0,0,0,United States,1,0,0,138056128,138443407,139891492,141230559,142428897,143828012,145197078,146647265,148064854,149489951,150807454,151781326,152107993
0,0,0,United States,1,0,1,112478128,112710885,113534140,114269447,114897973,115664854,116388486,117160246,117889727,118611132,119242290,119698920,119900452
0,0,0,United States,1,0,2,16971838,17027514,17249678,17454795,17631747,17856753,18079607,18319259,18560639,18803371,19033988,19205040,19261272
0,0,0,United States,1,0,3,1332962,1343592,1386766,1431081,1476657,1526559,1579417,1637319,1699452,1766088,1835413,1889695,1897163
0,0,0,United States,1,0,4,5127697,5182557,5404575,5619624,5825262,6029141,6241041,6454207,6662593,6872141,7071165,7218477,7256825
0,0,0,United States,1,0,5,235205,237674,247992,258009,267434,278261,289165,300435,311672,323174,334459,342904,344486
0,0,0,United States,1,0,6,1910298,1941185,2068341,2197603,2329824,2472444,2619362,2775799,2940771,3114045,3290139,3426290,3447795
0,0,0,United States,1,1,0,119894001,120101363,120806379,121412514,121910556,122592198,123209018,123880397,124520814,125167045,125743410,126162526,126313918
0,0,0,United States,1,1,1,95697274,95778530,95977450,96101267,96155748,96345151,96473133,96634152,96761624,96888612,96967512,97017621,97062393
0,0,0,United States,1,1,2,16293733,16340639,16526760,16697032,16839027,17022156,17195036,17381618,17570226,17759656,17938016,18068911,18116542
0,0,0,United States,1,1,3,1036267,1038554,1047311,1055340,1062183,1070779,1078657,1086919,1095236,1103404,1110569,1115756,1119358
0,0,0,United States,1,1,4,5012924,5065475,5277648,5482580,5677382,5868951,6067137,6265903,6459261,6652963,6835430,6969823,7006807
0,0,0,United States,1,1,5,185619,187229,193807,200158,205842,212582,219066,225835,232522,239323,245873,250698,251820
0,0,0,United States,1,1,6,1668184,1690936,1783403,1876137,1970374,2072579,2175989,2285970,2401945,2523087,2646010,2739717,2756998
0,0,0,United States,1,2,0,18162127,18342044,19085113,19818045,20518341,21235814,21988060,22766868,23544040,24322906,25064044,25618800,25794075
0,0,0,United States,1,2,1,16780854,16932355,17556690,18168180,18742225,19319703,19915353,20526094,21128103,21722520,22274778,22681299,22838059
0,0,0,United States,1,2,2,678105,686875,722918,757763,792720,834597,884571,937641,990413,1043715,1095972,1136129,1144730
0,0,0,United States,1,2,3,296695,305038,339455,375741,414474,455780,500760,550400,604216,662684,724844,773939,777805
0,0,0,United States,1,2,4,114773,117082,126927,137044,147880,160190,173904,188304,203332,219178,235735,248654,250018
0,0,0,United States,1,2,5,49586,50445,54185,57851,61592,65679,70099,74600,79150,83851,88586,92206,92666
0,0,0,United States,1,2,6,242114,250249,284938,321466,359450,399865,443373,489829,538826,590958,644129,686573,690797
0,0,0,United States,2,0,0,143368472,143719004,145077463,146394634,147679036,148977286,150319521,151732647,153166353,154604015,155964075,156964212,157241696
0,0,0,United States,2,0,1,115628370,115819594,116515056,117177468,117819218,118455593,119103091,119794572,120488360,121171882,121792109,122238141,122394968
0,0,0,United States,2,0,2,18733033,18787192,19013351,19229855,19434349,19653829,19882081,20123789,20374894,20626043,20868282,21045595,21096244
0,0,0,United States,2,0,3,1330889,1340899,1382965,1426032,1470918,1517958,1568355,1621347,1677761,1738790,1801353,1849811,1856695
0,0,0,United States,2,0,4,5461425,5523282,5777829,6029641,6274263,6513599,6766622,7021639,7272048,7523155,7762568,7941039,7982186
0,0,0,United States,2,0,5,227331,229665,239484,249256,258956,269056,279639,290404,301381,312503,323524,331721,333167
0,0,0,United States,2,0,6,1987424,2018372,2148778,2282382,2421332,2567251,2719733,2880896,3051909,3231642,3416239,3557905,3578436
