"SAGDP2N Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00000","United States *",8577552.0,9062817.0,9630663.0,10252347.0,10581822.0,10936418.0,11458246.0,12213730.0,13036637.0,13814609.0,14451860.0,14712845.0,14448932.0,14992052.0,15542582.0,16197007.0,16784851.0,17521747.0,18219297.0,18707189.0,19485394.0
"01000","Alabama",104087.4,109404.3,115030.9,119242.4,122449.3,127792.3,133739.2,146524.7,155970.4,163853.6,169678.4,172686.8,168348.0,174753.0,181349.8,186299.0,191481.0,194059.7,200317.5,203354.7,211196.5
"02000","Alaska",25744.8,24170.4,24732.6,26778.3,28420.4,29605.3,31799.7,34970.7,39774.8,44435.3,48972.6,54752.4,49585.9,52882.5,56259.9,57670.1,56622.8,55547.4,50636.1,49380.9,51479.0
"04000","Arizona",132418.0,143392.4,155344.5,164611.6,171474.2,179413.3,192751.2,205420.8,228231.2,248230.7,262322.0,259366.7,243929.4,248210.0,257947.8,268288.8,275199.1,284573.8,297116.4,310928.9,326445.8
"05000","Arkansas",59865.6,62442.5,66816.7,68770.0,70601.4,73950.4,78218.8,84624.5,89610.0,94384.5,96948.2,98955.3,97058.9,101690.0,106085.4,108745.2,114251.5,117339.1,118435.8,119947.3,122703.5
"06000","California",1070523.6,1147841.6,1247093.0,1366561.0,1384111.2,1436430.9,1527294.0,1632216.9,1753866.2,1874737.3,1955856.0,1990678.2,1920061.8,1974614.5,2050056.8,2144497.3,2262771.2,2396552.1,2557131.9,2665348.9,2797600.9
"08000","Colorado",136675.3,150381.7,164226.8,180605.5,187571.9,190962.8,196483.7,203980.2,219907.9,231205.9,246043.5,255566.8,248593.6,255140.5,264431.6,273519.5,288305.2,306362.0,317977.9,328513.8,345233.1
"09000","Connecticut",138648.8,145495.4,152338.1,165898.7,173127.2,176208.2,181339.7,198662.4,208766.2,222889.1,237542.7,240910.9,236393.2,237653.4,236523.7,243801.0,246632.0,248954.2,259776.0,263239.9,264509.9
"10000","Delaware",32967.7,36783.2,40363.6,43389.4,46448.3,45757.9,47761.6,51449.4,52154.1,55067.4,56278.5,54787.5,56871.2,57447.4,60357.4,61975.8,60666.1,67178.9,70917.7,70484.1,72461.3
"11000","District of Columbia",52451.9,54879.8,58832.1,61095.5,65565.9,70054.7,74090.3,80471.3,85304.9,88517.2,93970.0,99478.5,100894.6,106120.3,110076.2,112736.5,114891.0,119994.4,125434.6,130071.6,135768.3
"12000","Florida",401723.0,430064.2,458318.6,489488.1,516689.6,548540.3,583725.7,635525.5,696741.1,744464.2,768661.0,750501.6,724582.2,737791.1,746787.5,769309.1,800704.1,839706.0,895004.2,938086.1,976385.5
"13000","Georgia",242596.2,264894.9,288994.3,307611.6,318753.0,326929.6,340410.6,364255.2,386785.0,402144.6,415131.9,412911.9,407024.5,416883.8,429574.0,444132.2,460585.1,484915.4,513100.5,538360.6,563607.6
"15000","Hawaii",37654.9,37624.4,39250.4,41500.2,42894.3,45447.1,48929.1,53761.8,58667.9,62365.0,65233.5,66864.7,65692.0,68196.9,70482.6,73582.7,75788.3,77972.5,82739.9,85648.1,88447.9
"16000","Idaho",29439.0,30983.9,34138.2,37992.8,37384.1,38715.3,40341.8,43739.0,47962.9,50976.3,53852.1,55546.0,53775.0,55170.7,56488.1,57764.4,61017.7,63614.9,66273.6,69203.4,72294.2
"17000","Illinois",415770.7,436166.7,459322.1,487212.7,502260.3,514063.8,529455.4,558748.4,586693.9,621859.9,647862.1,646366.6,644690.1,662637.8,688288.9,720702.3,739627.9,765910.2,791625.9,803680.2,822539.6
"18000","Indiana",170545.3,184582.1,193100.6,203052.9,204581.1,212430.3,223495.3,236935.8,243738.3,255054.6,269053.6,272845.6,261238.3,280120.7,288749.1,297552.7,308681.7,325040.6,330026.5,338711.0,352272.7
"19000","Iowa",82572.2,84546.9,87662.3,93028.6,94770.8,98976.1,105073.5,116652.5,122224.0,126884.2,136977.0,136553.6,136251.2,141482.0,147227.0,157250.8,160299.8,171512.5,177875.4,180179.3,183929.8
"20000","Kansas",74664.6,78478.8,81853.0,85853.2,88380.4,90949.3,94603.5,97676.4,103936.6,112650.3,122453.3,127682.4,124340.7,127744.8,135315.3,140477.8,143220.7,148276.1,151679.9,155580.4,159108.2
"21000","Kentucky",104584.0,109656.2,115258.5,114293.2,117430.8,122193.1,126970.6,134194.1,142649.0,151006.8,154531.7,158099.0,155779.7,164605.5,169940.7,176302.3,182359.2,186694.5,191916.4,195034.8,202174.9
"22000","Louisiana",116494.7,120429.3,125989.9,132809.9,137845.1,139537.9,154361.6,169873.2,197566.5,205799.5,206641.1,215068.9,206884.9,225677.0,228987.5,233623.1,228967.4,237876.9,234440.9,227983.9,235960.2
"23000","Maine",30630.6,32166.6,34382.1,36841.0,38500.8,40183.7,41838.5,44526.3,45874.8,47921.1,49148.6,49973.8,50556.5,51710.7,51866.7,52874.0,53719.0,55875.1,57515.1,59447.3,61702.8
"24000","Maryland",159335.8,169980.1,180207.0,192106.3,205449.8,218299.3,228690.0,246762.0,265929.5,279468.3,287872.8,296435.4,302507.3,316451.5,328058.4,334821.6,341255.3,352524.3,367276.7,384376.8,399537.9
"25000","Massachusetts",237316.4,249154.2,264779.4,289926.5,296834.1,303967.1,315299.8,330669.9,345586.0,361266.0,379877.2,388583.2,391265.1,409762.5,425593.2,444329.8,454345.7,473454.4,502816.9,519564.2,542978.8
"26000","Michigan",299843.2,312611.0,337561.2,351572.7,348529.0,362271.1,373839.3,381228.9,394229.0,395451.0,403735.8,386053.9,365591.7,386625.9,401105.4,418857.4,432717.6,448964.4,473729.6,490185.0,508904.8
