state,year,total_pop,young_males (15-34 yrs),ethanol_all_drinks_gallons_per_capita,total_gdp (Millions of current dollars) 
Alabama,1997,4367935,623964,1.82,104087.4
Alaska,1997,612968,93769,2.56,25744.8
Arizona,1997,4736990,725687,2.44,132418
Arkansas,1997,2601090,367164,1.71,59865.6
California,1997,32486010,5101908,2.28,1070523.6
Colorado,1997,4018293,622249,2.48,136675.3
Connecticut,1997,3349348,445702,2.17,138648.8
Delaware,1997,751487,107490,2.81,32967.7
District of Columbia,1997,567736,92602,3.83,52451.9
Florida,1997,15186304,2005191,2.53,401723
Georgia,1997,7685099,1215704,2.13,242596.2
Hawaii,1997,1211640,183544,2.33,37654.9
Idaho,1997,1228520,182543,1.95,29439
Illinois,1997,12185715,1810233,2.26,415770.7
Indiana,1997,5955267,872614,1.85,170545.3
Iowa,1997,2891119,405818,1.85,82572.2
Kansas,1997,2635292,381374,1.67,74664.6
Kentucky,1997,3952747,578906,1.72,104584
Louisiana,1997,4421071,648936,2.44,116494.7
Maine,1997,1254774,162596,2.16,30630.6
Maryland,1997,5157328,716260,2.11,159335.8
Massachusetts,1997,6226058,891159,2.39,237316.4
Michigan,1997,9809051,1399551,2.07,299843.2
Minnesota,1997,4763390,687393,2.31,155921.9
Mississippi,1997,2777004,412169,2.09,58339.9
Missouri,1997,5481193,765837,2.15,163151.9
Montana,1997,889865,118926,2.32,19307.1
Nebraska,1997,1686418,242707,2.09,49886
Nevada,1997,1764104,266308,3.72,60593.4
New Hampshire,1997,1189425,158882,4.04,38214.9
New Jersey,1997,8218808,1128382,2.19,307895.7
New Mexico,1997,1774839,253821,2.33,52511.1
New York,1997,18656546,2679996,1.79,718322.5
North Carolina,1997,7656825,1163969,1.97,233924.3
North Dakota,1997,649716,97244,2.3,15730.3
Ohio,1997,11277357,1572889,1.89,343467.2
Oklahoma,1997,3372917,489665,1.65,79096
Oregon,1997,3304310,467781,2.24,100888.6
Pennsylvania,1997,12227814,1625626,1.95,356146.1
Rhode Island,1997,1025353,144646,2.3,28929.9
South Carolina,1997,3859696,565387,2.4,97393
South Dakota,1997,744223,105279,2.15,19000
Tennessee,1997,5499233,799343,1.8,154412.9
Texas,1997,19740317,3119898,2.22,610256.5
Utah,1997,2119784,368600,1.27,57699.7
Vermont,1997,597239,80708,2.37,15415
