NAME,AGEGRP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
Alabama,4,164416,165156,163598,163527,164178,165836,169052,172295,174268,176205,176744,175151,174172
Alabama,5,151811,152937,157924,160193,163064,163013,163055,163368,163868,164488,165830,167520,168170
Alabama,6,149270,148063,141826,138866,138346,139913,143069,148916,151122,153665,154238,153716,154413
Alabama,7,148685,148363,148924,149479,149716,147796,145535,141715,140442,140890,144437,146424,147553
Alaska,4,26366,26446,27757,28438,28562,28868,28762,28797,28666,28220,27717,27179,27166
Alaska,5,21192,21406,22934,24615,25950,28012,29526,29820,29746,30307,27880,29706,29890
Alaska,6,22188,21947,21339,21303,21180,22017,22729,23884,25314,26918,27412,29307,29565
Alaska,7,24121,24039,23680,23424,23085,22854,22431,22349,22473,22897,23558,24861,25174
Arizona,4,190607,192069,193221,197399,202553,209474,218017,225967,232399,236980,237592,237280,236876
Arizona,5,191081,193283,203093,209127,211198,213772,216575,220164,224031,226581,228031,229562,230679
Arizona,6,195401,194847,193754,196050,199558,206836,215866,226402,230336,231555,228836,225608,226500
Arizona,7,191665,192105,195996,199463,199915,200612,201856,203553,205712,208126,210499,212223,213720
Arkansas,4,102104,102582,101046,100385,100512,100945,101808,103291,104462,104725,103998,104178,103744
Arkansas,5,91761,92606,96205,98236,99937,99883,99276,98643,99031,99208,99724,100801,101220
Arkansas,6,89037,88391,86373,86271,87332,89867,93335,96806,97343,97833,97154,96155,96655
Arkansas,7,88230,88152,88628,88612,88625,88195,87533,86643,86954,88130,90242,92277,93035
California,4,1271627,1277698,1293087,1308453,1327978,1356493,1390427,1419714,1443997,1458088,1462796,1455082,1452533
California,5,1245526,1258133,1306724,1339562,1352138,1372791,1384388,1384451,1392768,1403785,1422179,1440785,1446529
California,6,1311438,1309119,1295367,1288551,1290737,1307573,1329820,1357992,1376569,1397352,1408147,1408698,1410840
California,7,1382355,1385574,1397761,1394749,1377207,1350391,1308978,1277634,1264026,1268756,1285607,1304347,1310062
Colorado,4,160007,161258,166418,169231,170187,170166,172217,173697,175173,176448,176675,175730,175495
Colorado,5,162642,164082,170950,174973,175096,177617,177397,179439,178814,179712,180255,181765,182711
Colorado,6,175623,175274,173708,172056,167814,170321,169042,174160,178266,184869,188121,192007,193090
Colorado,7,172931,173706,181109,184737,182753,181696,176714,173945,173676,175372,178929,181317,182853
Connecticut,4,111288,111633,116252,120012,122271,124474,127917,129561,130472,131117,130644,128949,128395
Connecticut,5,95107,95595,96079,98980,102404,105396,109140,110893,112151,113392,115105,117117,117441
Connecticut,6,99981,99338,95530,94986,95594,96058,96936,97730,99831,103358,106352,107986,108329
Connecticut,7,122736,122722,120457,118330,114710,110790,106294,102484,100729,100428,101173,102038,102646
Delaware,4,27947,28127,28646,29137,29550,30124,30919,31744,32489,32949,32812,32652,32543
Delaware,5,25618,25869,26891,27694,28355,28916,29275,29832,30635,30809,31007,31493,31666
Delaware,6,25439,25299,24275,24287,25110,26094,27225,27779,28245,28370,28847,28719,28889
Delaware,7,28433,28421,28187,27679,27195,26548,25647,24884,24593,25310,25766,26409,26668
District of Columbia,4,18017,18015,17982,18045,17775,17985,18306,18701,19055,19329,19372,18951,18961
District of Columbia,5,23620,23857,23897,23430,23137,23363,24536,25445,26156,26557,27908,28801,28978
District of Columbia,6,25234,25098,24570,23972,24071,24656,25040,26134,27556,28623,30216,32167,32390
District of Columbia,7,24520,24479,24927,25142,24898,24632,23586,23577,23362,24322,25644,26617,26940
Florida,4,521484,524153,537673,552234,566201,586980,608537,625951,635456,639022,636223,631287,628900
Florida,5,475196,480070,507085,528063,551102,574582,590942,605681,617224,619325,621502,627063,629685
Florida,6,504212,501903,491733,492339,500362,518962,542871,567809,581846,590131,594070,594897,596891
Florida,7,549084,549882,553416,558391,559151,559662,555526,547635,541739,540314,545181,555239,558795
Georgia,4,309826,311846,315583,318202,321904,329890,338996,348205,356351,362232,364583,362934,361594
Georgia,5,306460,309330,319017,322364,321106,332037,325141,333813,334088,338168,344616,344477,346255
Georgia,6,325761,324541,316243,309622,304706,310515,311509,325241,329832,335926,338475,333831,335531
Georgia,7,330795,331689,338080,340976,339210,338256,329239,324901,320176,320070,322356,324379,327152
Hawaii,4,42199,42243,42853,43004,43248,43599,43805,44944,45130,45079,44985,44590,44420
Hawaii,5,45709,46610,48977,50736,51507,51908,53966,54298,51737,51656,50932,51981,52001
Hawaii,6,44018,43667,42751,42899,42830,43567,46338,48421,48368,49939,50548,50683,50562
Hawaii,7,44389,44358,44595,44493,43322,42871,42668,42642,41625,42679,43916,44921,45053
Idaho,4,56129,56545,57070,56383,56129,56230,57016,57797,58867,59431,59142,58936,58761
Idaho,5,48936,49200,50950,52506,54476,55776,56431,56373,55914,55776,55064,54782,55026
Idaho,6,44117,43878,43181,43599,44489,46516,47731,50911,52996,54611,54744,54818,55118
Idaho,7,43110,43224,44354,44867,45432,46147,46935,47202,48793,49873,51827,52206,52669
Illinois,4,462553,465393,465200,463262,463364,468246,471806,475323,478022,479091,476519,473736,471564
Illinois,5,434990,436995,443839,447211,450472,457173,453595,452086,450322,448311,447564,447513,448854
Illinois,6,451191,448493,438094,432783,430703,432643,437507,445687,450353,457001,459187,456887,458206
Illinois,7,463280,463249,464909,465021,459817,450964,438795,429108,425658,425636,429092,433782,436285
Indiana,4,232854,233999,233172,231449,232285,233965,237578,240969,243821,245693,245574,243490,242313
Indiana,5,216456,218014,223084,227102,230584,231101,230723,229594,226627,226276,227086,228268,228938
Indiana,6,206839,205318,198849,196167,196583,198698,202035,207000,211105,212359,211924,210811,211730
Indiana,7,212767,212757,214278,214067,213808,210445,206740,201267,199550,200003,202696,204713,206177
Iowa,4,115783,116267,116339,114275,113166,112994,112648,113187,113141,113360,112538,111239,110745
Iowa,5,103902,104437,105930,109036,112255,113635,114122,113931,111117,109927,109456,109467,109778
Iowa,6,90263,89551,86454,85292,85210,86123,87600,90452,94984,98376,100592,101509,101992
Iowa,7,94584,94620,94809,94636,93799,91884,90846,88929,89024,89879,91864,94027,94740
Kansas,4,108046,108517,110075,109478,108598,107976,107972,107310,106922,106523,106113,105362,105006
Kansas,5,98802,99237,101206,104383,106070,107959,108660,110091,106519,107140,105457,105450,105844
Kansas,6,89064,88445,85560,84148,83033,83866,83500,87740,91589,96084,98598,101077,101579
Kansas,7,89641,89666,90091,90833,90439,89462,87916,87158,86642,87916,90090,91335,92063
Kentucky,4,147892,148607,147062,146915,146278,146634,148960,150161,151822,153122,152567,152107,151406
Kentucky,5,143893,144719,149645,151141,150928,153105,152177,147539,149086,145569,147055,147432,147932
Kentucky,6,141801,140600,135448,132301,131258,134377,137208,140631,144390,143456,145189,143707,144435
Kentucky,7,143531,143528,144777,145490,144727,144025,141793,137447,136460,136588,139640,142068,143186
Louisiana,4,184388,184827,182424,180981,178305,177757,177103,165476,166835,168230,167210,165747,164987
Louisiana,5,161178,162266,169082,174268,177621,181049,180247,165288,167683,165807,168143,169290,170125
Louisiana,6,145336,144215,140080,139890,141586,147566,154030,149565,155529,160744,165040,166926,167834
Louisiana,7,149468,149199,148186,147723,145793,144233,141612,128806,130626,134224,141553,148120,149428
Maine,4,45820,46044,47062,47747,48431,48557,48740,48663,48177,47643,46814,45541,45283
Maine,5,34930,35145,35971,37213,38890,39729,40601,40904,40727,40785,40800,40426,40490
Maine,6,35379,34988,33273,33058,33218,33391,33981,34710,35433,36015,36000,36145,36302
Maine,7,41929,41893,41535,41047,40485,39366,37685,36051,35388,35191,35485,35662,35912
Maryland,4,181762,182496,186964,192158,196232,200887,206297,210239,212153,212288,210290,208249,207375
Maryland,5,156487,158265,164917,170119,176075,180186,185350,189250,192086,193823,196544,199923,200817
Maryland,6,166476,165543,160781,160678,163352,169271,175512,181414,185141,188960,192256,194223,195096
Maryland,7,196315,196138,194173,191960,187777,181417,175606,170980,169021,170411,175164,179279,180671
Massachusetts,4,210469,211348,216120,220249,224528,228267,232943,236140,237762,238408,237429,234880,233982
Massachusetts,5,198767,200230,205275,209185,212900,213257,215967,221454,224783,228441,233452,236256,236936
Massachusetts,6,213374,212089,207441,204415,203571,204393,204645,205567,207985,212199,215663,218255,219151
Massachusetts,7,242395,242273,238888,233766,225211,215767,205037,197721,193788,193453,196447,198338,199647
Michigan,4,368718,370366,372538,373737,376689,379916,386090,390161,392652,390935,385985,379477,376881
Michigan,5,324532,326570,336983,344754,351000,350901,350134,346960,340965,336581,335545,338569,339122
Michigan,6,327776,325099,309428,300965,298334,298648,300387,305752,306047,303133,297861,295323,296128
Michigan,7,354570,354228,354505,351249,344619,333846,320806,302476,291796,286000,284897,285510,287058
Minnesota,4,191536,192674,195077,194500,194613,194607,194612,194741,194520,193095,191253,188594,187748
Minnesota,5,164037,165321,170710,177083,183427,184916,186726,187696,184998,183930,182116,180725,181255
Minnesota,6,162135,161176,158108,158486,159998,164623,169035,174194,181307,186583,187452,187562,188416
Minnesota,7,178504,178760,179598,177900,174904,169772,165658,162479,163367,165779,171230,174549,175804
Mississippi,4,118729,118970,116711,114741,113019,113232,113696,114092,115395,116360,115402,114145,113472
Mississippi,5,106800,107712,110990,112727,114061,113564,112143,109262,107334,105482,105340,105433,105865
Mississippi,6,94047,93275,90389,88708,88014,89902,92291,94849,97590,99863,99466,98610,99033
Mississippi,7,92368,92344,92602,93173,93035,92384,91081,88183,87818,88459,90554,92461,93199
Missouri,4,210844,211896,213561,213272,213877,215578,217843,219107,220407,220839,219508,216939,215838
Missouri,5,184819,186055,191802,198485,203380,207383,208889,209522,208327,207139,207103,207793,208423
Missouri,6,180471,179103,173641,172206,172666,176672,181279,188355,194754,198865,201283,201438,202393
Missouri,7,187733,187810,189298,189698,188589,185646,181583,177309,176359,177555,182214,186306,187697
Montana,4,36788,36958,38033,37541,37575,37158,36792,36340,36069,35652,35187,34515,34360
Montana,5,30346,30472,31348,32970,34761,35631,36639,37308,36308,36115,35221,34939,35059
Montana,6,26389,26138,25069,24762,24866,25728,26556,28267,30214,31803,32525,33135,33333
Montana,7,26061,26060,26450,26590,27034,27452,27625,27189,27708,28119,29640,30209,30491
Nebraska,4,69235,69544,70535,70086,69396,68695,68477,68076,67722,67451,66649,66033,65819
Nebraska,5,61300,61619,62348,64563,66407,68203,69616,69505,67702,67004,66428,66232,66496
