GEO.display-label,Total_pop,Total_males,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,males 15-34
Alabama,4442558,2142901,94595,57391,36060,29512,86800,143348,137910,585616
Alaska,641724,325699,16537,10919,5169,4340,14737,18377,19077,89156
Arizona,5829839,2902933,128401,75699,35924,39485,130485,220354,211401,841749
Arkansas,2701431,1314810,60015,39800,20538,14638,51761,90709,83371,360832
California,35278768,17497507,821400,466358,245368,235261,744899,1256603,1297868,5067757
Colorado,4562244,2283293,96299,57315,30479,30054,99190,181154,186454,680945
Connecticut,3394751,1645607,76847,37874,19939,17712,58077,93894,98743,403086
Delaware,818587,396855,17573,9502,5076,5174,17290,26335,25292,106242
District of Columbia,515118,242560,7592,4050,1317,2658,8183,26529,22157,72486
Florida,17382511,8466292,359740,209696,107119,113645,324058,505915,527931,2148104
Georgia,8821142,4321977,199047,113048,60451,61712,185867,322033,334904,1277062
Hawaii,1238158,611556,25685,14880,7330,9036,26214,40055,39484,162684
Idaho,1395634,695097,33000,20707,10572,8515,32507,49020,45259,199580
Illinois,12440351,6090298,276334,153015,86747,82491,252696,433236,442796,1727315
Indiana,6093372,2991900,139791,72666,41425,41919,119811,209030,197874,822516
Iowa,2862541,1409206,61491,37006,18414,20472,61786,96847,85738,381754
Kansas,2662616,1315990,58759,34120,20011,17782,61625,94746,84057,371100
Kentucky,4058633,1985312,87587,51134,24742,31231,78936,135439,135649,544718
Louisiana,4389747,2117460,102397,64643,36765,32069,92688,145100,130755,604417
Maine,1283673,626454,28104,15832,6358,8255,24538,34265,35550,152902
Maryland,5461318,2630426,126128,68017,33271,36005,108012,158957,167149,697539
Massachusetts,6182860,2998038,131147,65823,38327,36394,110457,204522,209337,796007
Michigan,9865583,4824431,230765,127763,67827,66977,190815,309154,308818,1302119
Minnesota,4989848,2476815,112206,66583,33808,33528,107416,169970,167329,690840
Mississippi,2824156,1358126,62617,37115,21613,22210,62689,91700,79365,377309
Missouri,5631910,2746587,125506,72774,40580,40391,115082,182681,177337,754351
Montana,910651,452391,20010,11522,4494,6654,22095,29673,26150,120598
Nebraska,1706976,844899,38843,21752,11721,11133,42128,59675,55648,240900
Nevada,2381281,1204079,49468,30179,16001,14745,46503,88488,93413,338797
New Hampshire,1272486,628494,30020,14477,6808,9116,22307,34637,36758,154123
New Jersey,8521427,4138329,190137,105368,50025,47910,153187,237787,273525,1057939
New Mexico,1887200,921347,44674,30587,14063,12721,39766,59274,55852,256937
New York,18655275,8993239,401873,215951,122904,113799,353270,618065,613299,2439161
North Carolina,8411041,4112482,183228,100436,50859,52258,158853,296904,304792,1147330
North Dakota,609645,303655,13163,6895,4595,5530,13737,23835,17964,85719
Ohio,11155606,5423416,250782,135054,75935,67250,225458,349647,348053,1452179
Oklahoma,3433496,1680757,72198,47101,25459,24458,76920,117593,110226,473955
Oregon,3560109,1760453,74833,43852,26143,24318,72111,124020,127238,492515
Pennsylvania,11979147,5799557,264747,134860,78710,77391,216902,352471,350661,1475742
Rhode Island,1032662,497891,22323,9363,6121,6576,21044,35727,30670,131824
South Carolina,4113961,1986328,90345,49237,26750,27530,86414,131737,132475,544488
South Dakota,746033,368834,15918,10628,5372,6261,15589,24926,22506,101200
Tennessee,5810590,2837860,124766,76213,37665,40408,110740,193639,201316,784747
Texas,22270165,10997086,518741,302444,159703,169831,485317,808434,818368,3262838
Utah,2427350,1215268,57397,37176,15735,20117,76684,119253,93003,419365
Vermont,602290,295893,13726,6487,4505,5176,9840,18311,16446,74491
Virginia,7332608,3574553,158071,92279,51559,44663,152976,233646,239931,973125
Washington,6146338,3052792,133199,82316,42745,44700,134161,209715,215053,861889
West Virginia,1771750,866032,34589,20209,11140,9952,36250,55752,51382,219274
Wisconsin,5375751,2653937,122637,68324,37837,38481,111427,177779,165289,721774
Wyoming,495226,247262,10343,5983,4044,3655,11382,16884,14379,66670
Puerto Rico,3865280,1845154,90130,56874,31228,30130,81867,132574,122977,545780
