GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,males 15-34
0400000US01,1,Alabama,4599030,,2230594,3956,102140,2025,73271,3046,39282,3131,32132,3039,90085,4413,146475,2687,140263,2395,623648
0400000US02,2,Alaska,670053,,344757,1779,16175,821,13654,1298,5930,1474,6062,1292,16137,1841,25865,999,22677,1241,106500
0400000US04,4,Arizona,6166318,,3085331,2212,138002,1357,86637,2056,47311,3757,43698,3731,130816,4544,246890,2259,222459,1910,915813
0400000US05,5,Arkansas,2810872,,1377539,3500,62140,1978,42688,2437,20564,2541,19413,1960,56579,3101,94951,2200,87298,2185,383633
0400000US06,6,California,36457549,,18225275,5662,842425,2775,563020,3888,293947,9024,299031,9295,820940,12053,1376668,3589,1344698,3419,5540729
0400000US08,8,Colorado,4753377,,2393355,2622,98534,1344,67120,2152,36607,4133,38936,3488,102420,4394,189277,2303,183194,2240,716088
0400000US09,9,Connecticut,3504809,,1705842,1761,78061,708,49112,737,25334,1916,22613,2108,66862,3212,100236,1466,104724,1160,446942
0400000US10,10,Delaware,853476,,413560,1013,18144,573,12120,740,7951,1401,5420,1271,15987,1610,27645,557,25685,695,112952
0400000US11,11,District of Columbia,581530,,272604,785,9723,371,9540,1040,4483,1047,3824,1113,14003,1744,26481,534,23414,128,91468
0400000US12,12,Florida,18089889,,8878166,6724,368842,2494,236282,4071,123787,6716,122431,7595,349871,8382,590849,5001,557886,3857,2349948
0400000US13,13,Georgia,9363941,,4613727,5818,212636,3026,151690,4412,75154,4897,68329,4196,199619,5407,333227,5064,340588,4566,1381243
0400000US15,15,Hawaii,1285498,,643073,1564,27182,626,18791,1080,10829,1611,13371,1937,26679,2328,47052,1333,43416,600,187320
0400000US16,16,Idaho,1466465,,735971,2002,34867,999,23215,1665,9316,1689,9528,1760,38046,2512,55275,1237,48131,1594,218378
0400000US17,17,Illinois,12831970,,6315239,2761,283681,1493,201344,3534,102704,5472,99350,5755,261451,6518,457612,3004,445567,2767,1851709
0400000US18,18,Indiana,6313520,,3104461,3835,142872,1733,95184,2617,49479,3227,49599,3846,126352,4104,221743,2530,201851,1930,887080
0400000US19,19,Iowa,2982085,,1470463,2376,66335,1262,48823,1801,26330,2443,22792,2119,64865,3571,91693,1856,88467,1460,409305
0400000US20,20,Kansas,2764075,,1371613,2644,63253,1271,44495,2869,21158,2269,24511,2856,66436,3365,91840,2161,83486,1571,395179
0400000US21,21,Kentucky,4206074,,2058789,3532,89437,1763,59954,3156,32210,3005,31821,2814,78735,3656,150576,2125,137557,2087,580290
0400000US22,22,Louisiana,4287768,,2078914,4640,95501,2354,69483,2928,34713,3145,33828,3283,95597,3775,149453,3259,127686,3448,606261
0400000US23,23,Maine,1321574,,645154,1259,28702,438,17043,807,9656,1360,9486,1340,22829,1844,38187,680,37729,701,163632
0400000US24,24,Maryland,5615727,,2715872,2526,126032,1518,83963,1292,39973,3652,38325,3328,107384,4724,180584,2268,170809,1812,747070
0400000US25,25,Massachusetts,6437193,,3116536,2762,133142,1233,93565,1932,51629,3653,46788,3424,128943,4485,200782,2201,206857,1898,861706
0400000US26,26,Michigan,10095643,,4968640,3109,234808,1623,150447,2107,78376,3788,72934,4035,200134,5159,322088,2154,312582,2446,1371369
0400000US27,27,Minnesota,5167101,,2567888,2854,115237,1029,78112,1613,37907,2671,43164,2776,108471,3457,177748,1379,164480,1592,725119
0400000US28,28,Mississippi,2910540,,1412001,3868,66765,2298,50020,3123,22682,2461,24965,2638,61040,3999,99696,3501,82063,2856,407231
0400000US29,29,Missouri,5842713,,2851831,3958,131114,1486,84799,2267,44754,2950,44448,2817,117905,4001,199267,1889,179185,2403,801472
0400000US30,30,Montana,944632,,471157,1841,21557,1056,14826,965,8831,1411,7221,1339,19556,1735,31759,991,25523,815,129273
0400000US31,31,Nebraska,1768331,,876751,1778,39995,730,28290,1377,14813,2000,13225,1774,39805,2615,60610,1101,57345,1508,254083
0400000US32,32,Nevada,2495529,,1272447,2811,53011,1109,29923,1757,14407,1927,16842,2135,51307,2667,100318,1358,94072,2395,359880
0400000US33,33,New Hampshire,1314895,,647282,1997,29675,574,19333,774,9833,1752,9451,1508,23194,1857,38084,710,39143,1199,168713
0400000US34,34,New Jersey,8724560,,4260169,2188,190104,1099,118898,2206,58522,3948,59602,3370,159115,4531,261475,1969,286244,1652,1133960
0400000US35,35,New Mexico,1954599,,963767,2576,44948,1371,31562,1972,18356,2410,16409,1919,39394,2777,67301,1739,61581,2236,279551
0400000US36,36,New York,19306183,,9349093,3577,415505,1659,294306,2254,153149,5966,147688,6127,390817,8285,622334,2944,620920,2227,2644719
0400000US37,37,North Carolina,8856505,,4343478,6009,191982,3419,133241,4149,65044,4339,71048,4881,176839,6011,294390,4828,309529,4453,1242073
0400000US38,38,North Dakota,635867,,317246,1487,13914,572,12589,959,6037,1136,7546,1226,16043,1298,21929,961,17359,635,95417
0400000US39,39,Ohio,11478006,,5591589,3768,255901,2126,167383,2782,87211,5585,79213,4696,226447,6356,375754,2213,346076,2438,1537985
0400000US40,40,Oklahoma,3579212,,1763175,3413,79082,1778,54763,3104,27673,2792,29809,2626,82577,3838,126383,2190,109816,2087,510103
0400000US41,41,Oregon,3700758,,1833458,3281,80065,1618,48030,2121,27577,2916,24607,2319,75475,3442,136011,1714,127923,1629,519688
0400000US42,42,Pennsylvania,12440621,,6043132,3285,271765,1423,193584,2660,91608,3905,88815,3946,238037,4788,367283,2053,358999,2307,1610091
0400000US44,44,Rhode Island,1067610,,514651,1285,22427,561,17919,904,10324,1600,9289,1643,20617,1824,33007,663,31210,500,144793
0400000US45,45,South Carolina,4321249,,2102537,3805,97094,2192,70816,3093,30563,2982,34347,3143,88039,3916,140301,3245,134912,3198,596072
0400000US46,46,South Dakota,781919,,392394,2174,17231,906,11694,1266,7079,1295,7563,1456,17073,1856,25749,1229,22073,1005,108462
0400000US47,47,Tennessee,6038803,,2950108,3532,133782,1829,83484,2916,48839,3321,41378,2723,111350,3900,216790,3227,198586,2109,834209
0400000US48,48,Texas,23507783,,11705673,7159,542648,4035,367427,5104,210210,8551,187542,8552,515845,9488,901148,5757,858281,4469,3583101
0400000US49,49,Utah,2550063,,1282354,1936,63297,936,39766,1345,18032,2473,23256,2679,83576,3611,120069,1403,85801,1312,433797
0400000US50,50,Vermont,623908,,306596,1056,13853,437,10769,732,7021,1431,4234,760,10792,1365,18606,383,16985,391,82260
0400000US51,51,Virginia,7642884,,3757523,5483,163679,2788,121316,3509,62276,4079,62106,4208,157832,5486,254759,3731,249811,3901,1071779
0400000US53,53,Washington,6395798,,3184373,3528,140674,1421,94458,2964,51892,3416,43121,3800,131844,4251,231852,2317,219555,2112,913396
0400000US54,54,West Virginia,1818470,,890990,2141,37016,1250,25544,1922,13797,1936,10375,1429,35651,2154,59679,1561,52997,1522,235059
0400000US55,55,Wisconsin,5556506,,2758587,2772,124936,1133,82401,1409,47169,3286,43546,2978,113826,3672,190079,2090,170344,1846,772301
0400000US56,56,Wyoming,515004,,259215,1896,11356,845,8009,999,4532,1170,3474,993,12737,1546,18442,1078,15403,669,73953
0400000US72,72,Puerto Rico,3927776,,1887087,1994,92410,1065,58914,1535,32701,2448,30319,2655,83330,3155,139146,903,129281,1126,566101
