GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male:
HD02_VD02,Margin of Error; Male:
HD01_VD06,Estimate; Male: - 15 to 17 years
HD02_VD06,Margin of Error; Male: - 15 to 17 years
HD01_VD07,Estimate; Male: - 18 and 19 years
HD02_VD07,Margin of Error; Male: - 18 and 19 years
HD01_VD08,Estimate; Male: - 20 years
HD02_VD08,Margin of Error; Male: - 20 years
HD01_VD09,Estimate; Male: - 21 years
HD02_VD09,Margin of Error; Male: - 21 years
HD01_VD10,Estimate; Male: - 22 to 24 years
HD02_VD10,Margin of Error; Male: - 22 to 24 years
HD01_VD11,Estimate; Male: - 25 to 29 years
HD02_VD11,Margin of Error; Male: - 25 to 29 years
HD01_VD12,Estimate; Male: - 30 to 34 years
HD02_VD12,Margin of Error; Male: - 30 to 34 years
