GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,0
0400000US01,1,Alabama,4661900,,2258924,3639,99700,1911,72006,3232,38692,3599,29714,2258,93342,4263,157067,3438,141175,2989,631696
0400000US02,2,Alaska,686293,,357559,1751,16724,1344,12628,1372,8807,1518,7013,1731,17695,1671,28381,1333,23971,1904,115219
0400000US04,4,Arizona,6500180,,3258694,2909,140310,1640,90168,1907,46190,4080,52161,4175,126603,4301,255627,1586,234018,1939,945077
0400000US05,5,Arkansas,2855390,,1398560,3452,61497,1887,48490,3018,19991,2568,21020,2962,55474,3511,94153,3349,86653,2203,387278
0400000US06,6,California,36756666,,18383523,4718,833568,2782,593756,3279,295706,9284,295744,9154,819220,11146,1414680,4392,1310621,3802,5563295
0400000US08,8,Colorado,4939456,,2487842,3877,100671,1378,70376,2443,40316,3712,34767,3283,102428,3956,199898,2386,186520,2261,734976
0400000US09,9,Connecticut,3501252,,1709297,2163,76845,1258,52155,974,25996,2635,23472,2424,65669,2932,104432,1084,99569,969,448138
0400000US10,10,Delaware,873092,,422659,926,18065,707,13206,766,5464,981,8260,1447,16333,1666,26813,645,25684,610,113825
0400000US11,11,District of Columbia,591833,,279839,637,9553,464,10990,942,4114,1137,4802,1323,15415,1649,28448,434,23403,3,96725
0400000US12,12,Florida,18328340,,8996705,6921,359498,3298,248124,5062,126901,6144,123825,6444,342067,7707,606601,4266,548975,3985,2355991
0400000US13,13,Georgia,9685744,,4767677,6813,211109,3792,154279,4867,76524,5793,71964,5908,194392,7152,348391,5197,323719,4470,1380378
0400000US15,15,Hawaii,1288198,,649535,2134,24827,1032,18865,1677,12890,2231,9429,1844,30436,2453,49570,2117,41270,1212,187287
0400000US16,16,Idaho,1523816,,766323,1978,35697,1096,24079,1815,10783,1944,10412,1931,34006,2958,58086,1102,48267,1330,221330
0400000US17,17,Illinois,12901564,,6353674,4456,279340,2107,208992,3723,100645,5546,95872,5111,276354,6707,457704,3242,437987,2884,1856894
0400000US18,18,Indiana,6376792,,3136086,3877,138189,1918,96361,2966,47945,3787,46358,3571,123883,5385,222290,2045,204330,2164,879356
0400000US19,19,Iowa,3002557,,1480463,3219,63549,1310,45043,2011,25496,2277,23133,2315,67178,3845,99907,2357,86729,1729,411035
0400000US20,20,Kansas,2802134,,1389348,2908,58093,1531,48463,3273,21849,2334,21646,2717,63255,3544,101289,2248,86623,1831,401218
0400000US21,21,Kentucky,4269245,,2086782,4732,89640,2290,58975,3628,30116,2949,27530,3215,80555,3791,150727,2275,135300,1710,572843
0400000US22,22,Louisiana,4410796,,2139612,3737,98609,2103,68583,3074,37100,4056,32365,3467,97141,4708,162001,3197,125642,2655,621441
0400000US23,23,Maine,1316456,,640629,1541,26968,606,18194,765,9232,1482,7913,1381,21905,1818,38130,649,34837,508,157179
0400000US24,24,Maryland,5633597,,2728031,2585,124511,1117,88059,2513,38887,3480,39736,3338,113954,4242,183871,2445,167841,1524,756859
0400000US25,25,Massachusetts,6497967,,3152206,2083,133900,1223,101888,1786,52389,3852,47495,3347,132073,4199,211427,1788,201381,1595,880553
0400000US26,26,Michigan,10003422,,4918443,3969,227140,1652,164602,3668,79183,4789,67999,4101,187025,6357,321036,3025,300086,2103,1347071
0400000US27,27,Minnesota,5220393,,2596324,2738,112077,1124,75915,1788,37467,3171,38076,3223,109581,4130,188357,1802,166789,2017,728262
0400000US28,28,Mississippi,2938618,,1427841,4255,70909,2856,50850,3821,20906,2085,24428,3122,61572,4269,103825,3366,83024,3258,415514
0400000US29,29,Missouri,5911605,,2885591,4570,129299,2156,84971,2243,42244,3037,40345,3335,124408,4422,202659,1880,179939,2611,803865
0400000US30,30,Montana,967440,,481256,2250,20076,1104,15058,1671,9673,1807,7335,1664,18571,1879,32697,1245,27179,982,130589
0400000US31,31,Nebraska,1783432,,883051,2229,39223,1114,28298,1349,13183,1882,13195,1774,40552,2353,63857,1595,55192,1366,253500
0400000US32,32,Nevada,2600167,,1324346,2552,55505,1029,33309,2316,16903,1991,16136,2252,49515,3628,102235,2813,95976,1374,369579
0400000US33,33,New Hampshire,1315809,,647416,1688,28927,736,18550,744,10674,1489,7637,1464,23639,1840,39318,1137,36041,1300,164786
0400000US34,34,New Jersey,8682661,,4251963,2917,184967,1772,121782,2187,61012,4821,58375,4122,156284,5156,265306,1851,274012,1542,1121738
0400000US35,35,New Mexico,1984356,,979396,2841,44138,1646,31879,3074,17495,2571,13679,1824,40800,2862,72130,2463,60959,1874,281080
0400000US36,36,New York,19490297,,9461978,4021,411270,1751,313401,2947,161056,4959,145652,5980,396172,8012,646318,2238,617747,2852,2691616
