GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,
0400000US01,1,Alabama,4708708,,2280784,4739,98427,2232,71066,2774,37082,2985,36182,3576,91180,3618,164102,3044,145358,2781,643397
0400000US02,2,Alaska,698473,,360688,1510,15616,1012,13340,1651,7001,1273,6074,1319,19139,2071,30604,1555,24312,1684,116086
0400000US04,4,Arizona,6595778,,3307075,2761,139284,1526,93229,2183,53934,4475,44142,4371,133611,5759,258655,2226,241707,1594,964562
0400000US05,5,Arkansas,2889450,,1413505,3495,60511,1867,41974,2820,20941,2320,21845,2655,59729,4183,96953,3105,93238,2440,395191
0400000US06,6,California,36961664,,18517377,4701,824312,2761,568284,3334,298106,9530,285012,9954,803901,11275,1455041,3318,1344900,3517,5579556
0400000US08,8,Colorado,5024748,,2529083,3213,100177,1482,70922,2485,41267,3601,39925,3445,111377,4923,199143,2597,182738,2221,745549
0400000US09,9,Connecticut,3518288,,1716182,1743,74939,1040,55242,961,27692,2740,26657,3191,65577,3495,108238,1201,101035,1103,459380
0400000US10,10,Delaware,885122,,428865,1313,17565,895,13379,981,5760,1077,6033,1431,17282,1894,29467,928,28096,896,117582
0400000US11,11,District of Columbia,599657,,281649,880,8592,501,10778,1068,5701,1192,4391,1211,11981,1607,28334,463,25190,97,94967
0400000US12,12,Florida,18537969,,9111329,6056,355723,3293,247422,5206,142009,6748,133037,6909,350652,8220,630436,3574,576216,4228,2435495
0400000US13,13,Georgia,9829211,,4826927,8502,212489,3478,163255,6789,74885,5659,72056,5197,220481,6745,353976,5429,327779,4532,1424921
0400000US15,15,Hawaii,1295178,,654657,1907,24891,1003,16607,1106,9472,1816,8458,1951,32261,2184,56685,1833,46007,1515,194381
0400000US16,16,Idaho,1545801,,776454,2195,36319,1668,24493,1770,9086,1677,12197,1791,38011,2391,56404,1679,48751,1362,225261
0400000US17,17,Illinois,12910409,,6359111,4403,276660,1748,201649,4580,98797,5434,92584,4856,271029,6914,469035,2541,434086,2637,1843840
0400000US18,18,Indiana,6423113,,3159805,3549,137824,1880,96786,2671,51150,3556,47884,3713,131960,4855,222754,2727,203131,2552,891489
0400000US19,19,Iowa,3007857,,1483357,2927,61398,1551,48622,2412,28148,2711,23426,2356,63778,3938,99324,1824,90385,1932,415081
0400000US20,20,Kansas,2818747,,1397869,3080,57904,1549,43862,2407,22789,3124,22346,2896,70337,3932,103186,1826,86635,1946,407059
0400000US21,21,Kentucky,4314113,,2111522,4926,89562,2299,63926,3149,33708,3561,31251,3126,88623,4700,149868,2534,136778,2273,593716
0400000US22,22,Louisiana,4492076,,2181738,4291,97213,2104,70478,3332,39021,3894,33670,3197,97599,5352,169432,3285,137363,2900,644776
