,States,1997-pop,1998-pop,1999-pop
0,Alabama,4367935,4404701,4430141
1,Alaska,612968,619932,624779
2,Arizona,4736990,4883342,5023823
3,Arkansas,2601090,2626289,2651860
4,California,32486010,32987675,33499204
5,Colorado,4018293,4116639,4226018
6,Connecticut,3349348,3365352,3386401
7,Delaware,751487,763335,774990
8,District of Columbia,567736,565230,570213
9,Florida,15186304,15486559,15759421
10,Georgia,7685099,7863536,8045965
11,Hawaii,1211640,1215233,1210300
12,Idaho,1228520,1252330,1275674
13,Illinois,12185715,12271847,12359020
14,Indiana,5955267,5998880,6044969
15,Iowa,2891119,2902872,2917634
16,Kansas,2635292,2660598,2678338
17,Kentucky,3952747,3985390,4018053
18,Louisiana,4421071,4440344,4460811
19,Maine,1254774,1259127,1266808
20,Maryland,5157328,5204464,5254509
21,Massachusetts,6226058,6271838,6317345
22,Michigan,9809051,9847942,9897116
23,Minnesota,4763390,4813412,4873481
24,Mississippi,2777004,2804834,2828408
25,Missouri,5481193,5521765,5561948
26,Montana,889865,892431,897507
27,Nebraska,1686418,1695816,1704764
28,Nevada,1764104,1853191,1934718
29,New Hampshire,1189425,1205940,1222014
30,New Jersey,8218808,8287418,8359592
31,New Mexico,1774839,1793484,1808082
32,New York,18656546,18755906,18882725
33,North Carolina,7656825,7809121,7949361
34,North Dakota,649716,647532,644259
35,Ohio,11277357,11311536,11335454
36,Oklahoma,3372917,3405194,3437147
37,Oregon,3304310,3352449,3393941
38,Pennsylvania,12227814,12245672,12263805
39,Rhode Island,1025353,1031155,1040402
40,South Carolina,3859696,3919235,3974682
41,South Dakota,744223,746058,750412
42,Tennessee,5499233,5570045,5638706
43,Texas,19740317,20157531,20558220
44,Utah,2119784,2165960,2203482
45,Vermont,597239,600416,604683
46,Virginia,6829183,6900918,7000174
47,Washington,5674747,5769562,5842564
48,West Virginia,1819113,1815609,1811799
49,Wisconsin,5266213,5297672,5332666
50,Wyoming,489451,490787,491780
