GEO.id,GEO.id2,GEO.display-label,HC01_VC01,HC02_VC01,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC08,HC02_VC08,HC01_VC09,HC02_VC09,HC01_VC10,HC02_VC10
0400000US01,01,Alabama,4447100,100.0,2146504,48.3,2300596,51.7,324580,7.3,306865,6.9,603015,13.6
0400000US02,02,Alaska,626932,100.0,324112,51.7,302820,48.3,50094,8.0,39892,6.4,89473,14.3
0400000US04,04,Arizona,5130632,100.0,2561057,49.9,2569575,50.1,367722,7.2,362860,7.1,742665,14.5
0400000US05,05,Arkansas,2673400,100.0,1304693,48.8,1368707,51.2,198765,7.4,181598,6.8,352845,13.2
0400000US06,06,California,33871648,100.0,16874892,49.8,16996756,50.2,2450888,7.2,2381288,7.0,5229062,15.4
0400000US08,08,Colorado,4301261,100.0,2165983,50.4,2135278,49.6,307238,7.1,306238,7.1,664027,15.4
0400000US09,09,Connecticut,3405565,100.0,1649319,48.4,1756246,51.6,216627,6.4,187571,5.5,451640,13.3
0400000US10,10,Delaware,783600,100.0,380541,48.6,403059,51.4,55632,7.1,51665,6.6,108840,13.9
0400000US11,11,District of Columbia,572059,100.0,269366,47.1,302693,52.9,37867,6.6,51823,9.1,101762,17.8
0400000US12,12,Florida,15982378,100.0,7797715,48.8,8184663,51.2,1014067,6.3,928310,5.8,2084100,13.0
0400000US13,13,Georgia,8186453,100.0,4027113,49.2,4159340,50.8,596277,7.3,592196,7.2,1299256,15.9
0400000US15,15,Hawaii,1211537,100.0,608671,50.2,602866,49.8,81002,6.7,83409,6.9,171159,14.1
0400000US16,16,Idaho,1293953,100.0,648660,50.1,645293,49.9,110858,8.6,93994,7.3,169433,13.1
0400000US17,17,Illinois,12419293,100.0,6080336,49.0,6338957,51.0,894002,7.2,850843,6.9,1811674,14.6
0400000US18,18,Indiana,6080485,100.0,2982474,49.0,3098011,51.0,453482,7.5,425731,7.0,831125,13.7
0400000US19,19,Iowa,2926324,100.0,1435515,49.1,1490809,50.9,226420,7.7,203663,7.0,363060,12.4
0400000US20,20,Kansas,2688418,100.0,1328474,49.4,1359944,50.6,210118,7.8,190167,7.1,348853,13.0
0400000US21,21,Kentucky,4041769,100.0,1975368,48.9,2066401,51.1,289004,7.2,283032,7.0,568108,14.1
0400000US22,22,Louisiana,4468976,100.0,2162903,48.4,2306073,51.6,365945,8.2,325571,7.3,601162,13.5
0400000US23,23,Maine,1274923,100.0,620309,48.7,654614,51.3,89485,7.0,69656,5.5,157617,12.4
0400000US24,24,Maryland,5296486,100.0,2557794,48.3,2738692,51.7,356119,6.7,314129,5.9,748521,14.1
0400000US25,25,Massachusetts,6349097,100.0,3058816,48.2,3290281,51.8,415737,6.5,404279,6.4,926788,14.6
0400000US26,26,Michigan,9938444,100.0,4873095,49.0,5065349,51.0,719867,7.2,643839,6.5,1362171,13.7
0400000US27,27,Minnesota,4919479,100.0,2435631,49.5,2483848,50.5,374362,7.6,322483,6.6,673138,13.7
0400000US28,28,Mississippi,2844658,100.0,1373554,48.3,1471104,51.7,233188,8.2,212947,7.5,381798,13.4
0400000US29,29,Missouri,5595211,100.0,2720177,48.6,2875034,51.4,413296,7.4,369498,6.6,738733,13.2
0400000US30,30,Montana,902195,100.0,449480,49.8,452715,50.2,71310,7.9,58379,6.5,103279,11.4
0400000US31,31,Nebraska,1711263,100.0,843351,49.3,867912,50.7,134909,7.9,120331,7.0,223273,13.0
0400000US32,32,Nevada,1998257,100.0,1018051,50.9,980206,49.1,127169,6.4,130006,6.5,306611,15.3
0400000US33,33,New Hampshire,1235786,100.0,607687,49.2,628099,50.8,86688,7.0,68766,5.6,160061,13.0
0400000US34,34,New Jersey,8414350,100.0,4082813,48.5,4331537,51.5,525216,6.2,480079,5.7,1189040,14.1
0400000US35,35,New Mexico,1819046,100.0,894317,49.2,924729,50.8,145751,8.0,121291,6.7,234091,12.9
0400000US36,36,New York,18976457,100.0,9146748,48.2,9829709,51.8,1287544,6.8,1244309,6.6,2757324,14.5
0400000US37,37,North Carolina,8049313,100.0,3942695,49.0,4106618,51.0,539931,6.7,577508,7.2,1213415,15.1
0400000US38,38,North Dakota,642200,100.0,320524,49.9,321676,50.1,53618,8.3,50503,7.9,76887,12.0
0400000US39,39,Ohio,11353140,100.0,5512262,48.6,5840878,51.4,816868,7.2,728928,6.4,1519894,13.4
0400000US40,40,Oklahoma,3450654,100.0,1695895,49.1,1754759,50.9,269373,7.8,247165,7.2,451647,13.1
0400000US41,41,Oregon,3421399,100.0,1696550,49.6,1724849,50.4,244427,7.1,230406,6.7,470695,13.8
0400000US42,42,Pennsylvania,12281054,100.0,5929663,48.3,6351391,51.7,850986,6.9,746086,6.1,1560486,12.7
0400000US44,44,Rhode Island,1048319,100.0,503635,48.0,544684,52.0,75445,7.2,71813,6.9,140326,13.4
0400000US45,45,South Carolina,4012012,100.0,1948929,48.6,2063083,51.4,295377,7.4,281714,7.0,560831,14.0
0400000US46,46,South Dakota,754844,100.0,374558,49.6,380286,50.4,62463,8.3,52802,7.0,91013,12.1
0400000US47,47,Tennessee,5689283,100.0,2770275,48.7,2919008,51.3,395184,6.9,386345,6.8,815901,14.3
0400000US48,48,Texas,20851820,100.0,10352910,49.6,10498910,50.4,1636232,7.8,1539404,7.4,3162083,15.2
0400000US49,49,Utah,2233169,100.0,1119031,50.1,1114138,49.9,216278,9.7,225152,10.1,327064,14.6
0400000US50,50,Vermont,608827,100.0,298337,49.0,310490,51.0,45770,7.5,37852,6.2,74567,12.2
0400000US51,51,Virginia,7078515,100.0,3471895,49.0,3606620,51.0,484065,6.8,480574,6.8,1036965,14.6
0400000US53,53,Washington,5894121,100.0,2934300,49.8,2959821,50.2,427968,7.3,390185,6.6,841130,14.3
0400000US54,54,West Virginia,1808344,100.0,879170,48.6,929174,51.4,125578,6.9,120109,6.6,229094,12.7
0400000US55,55,Wisconsin,5363675,100.0,2649041,49.4,2714634,50.6,407195,7.6,357292,6.7,706168,13.2
0400000US56,56,Wyoming,493782,100.0,248374,50.3,245408,49.7,41903,8.5,33455,6.8,59854,12.1
0400000US72,72,Puerto Rico,3808610,100.0,1833577,48.1,1975033,51.9,313436,8.2,301191,7.9,534332,14.0
