GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,
0400000US01,1,Alabama,4785298,,2322243,4446,104590,2593,75593,2769,35161,3276,38638,3412,94380,4505,149164,2920,144462,2563,641988
0400000US02,2,Alaska,713985,,372436,1772,16477,1311,10063,982,6832,1426,7412,1117,15550,1613,30013,1404,25464,1256,111811
0400000US04,4,Arizona,6413737,,3190700,2757,138738,1671,98991,2687,45851,3659,47234,3365,137890,4926,224458,1872,213257,2171,906419
0400000US05,5,Arkansas,2921606,,1430837,4306,59500,1842,47203,3153,21392,1890,21695,2111,55937,3234,94224,2680,91874,3023,391825
0400000US06,6,California,37349363,,18570505,5032,857360,2867,602241,4081,309375,9337,302914,8688,840184,11738,1401636,3494,1314916,3442,5628626
0400000US08,8,Colorado,5049071,,2531362,3639,104643,1770,73276,2815,35470,3307,40129,3408,105650,4747,191560,2175,184529,2097,735257
0400000US09,9,Connecticut,3577073,,1738918,1627,76755,949,51071,1010,25032,2408,24353,2569,67390,3165,107085,1107,102822,1613,454508
0400000US10,10,Delaware,899769,,436608,1451,18923,901,14967,1006,7638,1393,7858,1383,16716,1957,27478,684,26986,966,120566
0400000US11,11,District of Columbia,604453,,285729,795,8919,574,11677,1528,5053,1344,5052,1345,16750,2150,33249,594,26904,129,107604
0400000US12,12,Florida,18843326,,9212548,5887,370685,4385,262540,4651,148642,6852,135066,6849,357940,9196,586438,4135,556087,3644,2417398
0400000US13,13,Georgia,9712587,,4742754,6636,217627,3552,152699,4802,77614,5828,72912,5072,198226,6468,325556,4726,321496,3857,1366130
0400000US15,15,Hawaii,1363621,,684087,1583,27085,833,19065,1069,11947,1602,11685,2023,28919,2346,49070,764,44436,1017,192207
0400000US16,16,Idaho,1571450,,787506,2645,36015,1305,23742,1581,10822,1950,10555,1647,33422,3069,53862,1855,51292,1245,219710
0400000US17,17,Illinois,12843166,,6294434,5283,281644,1877,190041,3270,96175,4792,93806,5044,257780,6214,453760,2646,433533,2722,1806739
0400000US18,18,Indiana,6490621,,3197124,3805,141701,1974,101809,2621,51135,3431,52909,3994,127187,3858,210111,2692,207572,2904,892424
0400000US19,19,Iowa,3049883,,1505879,3896,62498,1637,50757,2310,21287,2237,21799,2346,62733,2882,100234,1822,94603,1735,413911
0400000US20,20,Kansas,2859169,,1417134,3693,61545,1926,46016,2319,22266,2513,22056,2782,59076,3887,99682,2299,90193,1839,400834
0400000US21,21,Kentucky,4346266,,2140493,4037,89894,2491,65768,3474,30375,2938,29677,2705,89215,4173,141972,2519,139897,2362,586798
0400000US22,22,Louisiana,4544228,,2227014,4151,97921,2671,69588,3403,37044,3619,34927,3371,102176,5051,160537,3284,149015,3077,651208
0400000US23,23,Maine,1327567,,648889,1474,26451,760,18717,814,9000,1219,8908,1563,22903,1548,36552,896,34275,742,156806
0400000US24,24,Maryland,5785982,,2799597,3400,123086,1894,87230,2683,42024,3121,39904,3186,116206,3873,195217,1681,180144,1794,783811
0400000US25,25,Massachusetts,6557254,,3170167,2392,132534,1309,101246,1779,51163,4358,48671,3661,138387,5492,218733,1583,198344,1427,889078
0400000US26,26,Michigan,9877574,,4848760,3767,223285,1896,155576,2780,78978,4636,74612,4661,186410,5265,293837,2074,285512,1906,1298210
0400000US27,27,Minnesota,5310584,,2635397,3097,113005,1549,74113,1702,37493,3613,35677,3107,106065,3972,188052,1844,176600,2142,731005
0400000US28,28,Mississippi,2970036,,1441525,4150,63584,2742,49835,3162,23587,2323,24014,2984,61862,4114,93466,3026,89937,3278,406285
0400000US29,29,Missouri,5996231,,2932383,4144,125951,1980,90058,3033,47454,3217,41807,3552,120861,4854,198341,1998,185908,2215,810380
0400000US30,30,Montana,990898,,499235,2028,20956,960,15220,1575,6337,1159,8336,1239,19636,1825,32859,1152,30479,1120,133823
0400000US31,31,Nebraska,1830429,,906540,2253,37235,986,27844,1551,12900,1822,15288,1954,39412,2347,63789,1458,58459,1613,254927
0400000US32,32,Nevada,2704642,,1365498,2352,56477,1205,38173,1348,19445,2408,19291,2742,51542,3000,99782,1174,99408,1669,384118
0400000US33,33,New Hampshire,1316759,,647349,1875,27560,640,18777,676,10859,1390,8902,1787,23365,1673,36220,1032,34739,1077,160422
0400000US34,34,New Jersey,8801624,,4284049,2455,189761,1592,117532,2739,58053,3678,57674,3854,165546,4719,275613,1424,278155,1936,1142334
0400000US35,35,New Mexico,2065932,,1020996,2983,44880,1718,32310,2162,16580,2163,17315,1896,39828,3230,71887,2278,63604,1556,286404
0400000US36,36,New York,19392283,,9387534,4174,406019,2756,292071,2908,159889,6287,144658,5857,411514,9092,681132,2717,629100,2800,2724383
0400000US37,37,North Carolina,9561558,,4657156,7691,194487,3675,147288,5623,74314,4740,75730,5581,188911,7606,306290,4380,306079,4712,1293099
0400000US38,38,North Dakota,674499,,343445,1580,14067,691,11678,1002,6692,1299,5667,1055,19579,1610,26934,866,20385,688,105002
0400000US39,39,Ohio,11536182,,5630118,4606,246519,2343,168425,3120,82433,4456,81489,5070,221116,6002,359125,2543,348125,2275,1507232
0400000US40,40,Oklahoma,3761702,,1856245,4017,74865,1872,56447,3053,28419,2766,29351,2769,81430,4040,134648,2470,122855,2333,528015
0400000US41,41,Oregon,3838957,,1902185,3522,77960,2212,52538,2191,27460,2776,24564,2519,78424,4020,132167,2058,131412,1962,524525
0400000US42,42,Pennsylvania,12709630,,6192105,4822,265600,2182,196903,2640,102728,5152,91888,5828,248461,6711,390993,2122,367570,2812,1664143
0400000US44,44,Rhode Island,1052886,,508198,1277,21395,638,18460,936,10439,1695,8850,1711,21957,2043,32347,822,30089,550,143537
0400000US45,45,South Carolina,4636312,,2253035,4319,92185,2511,77238,3200,39016,3055,34500,3372,95084,4551,150164,3168,141736,3513,629923
0400000US46,46,South Dakota,816463,,411170,2367,17301,878,13277,1260,7826,1322,5138,1189,16508,1585,29998,1495,24599,944,114647
0400000US47,47,Tennessee,6356897,,3095030,5512,132611,3024,92454,3302,47941,3315,43768,3907,125079,4360,203526,2612,198840,2308,844219
0400000US48,48,Texas,25257114,,12531720,7396,581623,4990,397796,5963,203328,7867,192036,7264,544830,9433,929121,4954,881619,4570,3730353
0400000US49,49,Utah,2776469,,1397849,2069,68694,1243,44729,1640,18127,2658,22642,2230,73441,3151,119361,1311,110459,1178,457453
0400000US50,50,Vermont,625960,,308172,1012,13059,590,10663,469,6339,1167,4428,776,12477,1276,17620,539,16734,351,81320
0400000US51,51,Virginia,8024617,,3941957,5811,166651,3423,124256,6146,64305,4686,58872,4385,169051,6062,278106,4381,261921,4929,1123162
0400000US53,53,Washington,6744496,,3358423,3276,139821,1725,96171,2753,52104,3936,46130,3195,141920,5155,245636,2480,231637,2359,953419
0400000US54,54,West Virginia,1853973,,913160,2808,35940,1418,26196,1903,13556,1768,14780,2098,33826,2294,53250,1750,56974,1400,234522
0400000US55,55,Wisconsin,5691047,,2826199,3414,119176,1388,86110,2369,46213,3720,39974,3911,111730,4552,186421,2033,178205,1924,767829
0400000US56,56,Wyoming,564460,,287053,2431,11466,802,9448,1377,4391,1177,3702,950,12925,1598,19484,1317,19203,952,80619
0400000US72,72,Puerto Rico,3722133,,1785266,2651,86765,1570,59258,1962,30198,2102,29131,2268,72263,3068,115036,1293,116785,1584,509436
