GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12
0400000US01,01,Alabama,4833722,,2341869,4937,93601,2155,71410,3448,39337,3699,39833,3683,101406,5291,150334,3843,153521,3571
0400000US02,02,Alaska,735132,,386404,1948,15762,1377,13616,1630,7275,1228,5951,1089,20382,2116,32970,1101,28427,1225
0400000US04,04,Arizona,6626624,,3298086,2142,137650,1251,94334,1774,49163,4274,52855,3995,148827,4455,229537,2297,223810,1630
0400000US05,05,Arkansas,2959373,,1461544,4406,60523,2402,42950,2787,21508,2401,23465,2521,59416,3845,96212,3347,97216,2726
0400000US06,06,California,38332521,,19072246,4878,808209,2649,563832,3029,315104,11343,305616,9156,892973,11224,1470219,3301,1401774,3319
0400000US08,08,Colorado,5268367,,2645976,3935,99402,1712,77096,2462,40136,3557,42191,3195,110459,3750,202771,2013,198064,2017
0400000US09,09,Connecticut,3596080,,1751883,2326,74371,973,55229,1189,29173,2927,26374,2477,67869,2644,113373,1322,106488,1228
0400000US10,10,Delaware,925749,,447789,1076,16693,690,11872,683,5707,1190,7194,1333,21479,1399,30478,551,28708,717
0400000US11,11,District of Columbia,646449,,306147,576,7406,394,10236,1445,5521,1107,6143,1090,16356,1879,34120,491,32977,5
0400000US12,12,Florida,19552860,,9565609,6671,363737,3633,254781,4318,141408,6021,135551,6579,389636,8553,631805,3705,601795,4060
0400000US13,13,Georgia,9992167,,4879034,7527,211942,4138,156013,4799,74034,5794,70584,4751,225562,7206,337291,5151,330010,5073
0400000US15,15,Hawaii,1404054,,710917,1599,24792,584,16731,805,10275,1546,11992,1592,36757,2101,58105,647,51074,863
0400000US16,16,Idaho,1612136,,810879,2561,38151,1490,21024,1418,12978,2178,11335,2014,36658,2641,51258,1643,53387,1765
0400000US17,17,Illinois,12882135,,6326778,4846,267413,1889,183818,2791,101239,5137,89636,5520,272690,6525,443833,2391,447859,2450
0400000US18,18,Indiana,6570902,,3228884,4840,134922,2208,94876,2743,55434,3617,51166,3575,140281,4810,207394,2769,210082,2453
0400000US19,19,Iowa,3090416,,1528770,3597,63055,1771,45774,2068,26593,2464,24115,2221,65671,3392,96578,1590,101210,1688
0400000US20,20,Kansas,2893957,,1440481,3429,59907,1395,45497,2345,23079,2489,20850,2137,67924,3444,99717,2010,99986,1632
0400000US21,21,Kentucky,4395295,,2163067,4037,86893,1789,62284,2760,35186,2656,33979,3210,88928,4184,140750,2694,141132,2215
0400000US22,22,Louisiana,4625470,,2256464,4818,92043,2085,63252,3453,37456,4331,36628,3650,104091,5190,164694,3082,163763,3840
0400000US23,23,Maine,1328302,,649994,1818,25301,789,17520,618,9626,1293,9051,1416,23071,1723,37774,872,36383,883
0400000US24,24,Maryland,5928814,,2875157,3002,116602,1325,82138,2176,40514,3187,45396,3857,123436,4587,203830,2314,198152,2275
0400000US25,25,Massachusetts,6692824,,3245774,2251,128057,1080,103246,1925,49062,3440,48916,3265,143882,4321,235102,1296,215370,1439
0400000US26,26,Michigan,9895622,,4858138,3600,208634,1701,144096,2109,78591,4323,76667,4036,211842,5536,298319,2007,291701,2273
0400000US27,27,Minnesota,5420380,,2690694,4169,109788,1368,75054,1525,37949,2724,37181,2973,108095,3859,183717,2107,190903,1914
0400000US28,28,Mississippi,2991207,,1451232,5443,65152,2758,52987,3795,26416,2648,20555,2389,61438,3930,93099,3416,93222,3642
0400000US29,29,Missouri,6044171,,2960402,4817,121004,2053,81484,2764,47241,3134,44488,3691,127980,4382,200240,2378,199148,2505
0400000US30,30,Montana,1015165,,507018,2006,19268,934,14943,1198,8118,1503,9382,1582,19459,1968,32838,1274,32146,1096
0400000US31,31,Nebraska,1868516,,925274,2103,37827,1193,28044,1656,14031,1706,15287,1868,38591,2635,63897,1821,65374,1571
0400000US32,32,Nevada,2790136,,1403068,2051,56249,921,34915,1477,19035,2162,20799,2319,57869,2948,100785,1388,103511,1383
0400000US33,33,New Hampshire,1323459,,652662,1978,26364,599,19770,972,8885,1457,9772,1488,25925,1707,38689,804,37202,713
0400000US34,34,New Jersey,8899339,,4343749,2597,182425,1419,117980,2196,60088,3720,55975,3480,175603,4680,288387,1532,284928,1484
0400000US35,35,New Mexico,2085287,,1034144,2457,41223,1259,34486,2472,17344,2214,16370,2083,43637,2692,70089,1857,68903,2161
0400000US36,36,New York,19651127,,9536179,4556,377213,2237,276822,2453,150463,5780,146978,6180,431997,7972,720116,2650,669348,2177
0400000US37,37,North Carolina,9848060,,4795976,7164,194689,3516,143931,3989,82694,5430,84201,5427,207826,6341,310318,3841,314029,5022
0400000US38,38,North Dakota,723393,,369155,2070,12555,985,11688,1257,9178,1678,7843,1342,22310,2465,29110,1195,26622,1268
0400000US39,39,Ohio,11570808,,5658223,4313,237044,2122,165224,2345,87860,4833,79592,5187,234159,5924,365968,2431,355365,2251
0400000US40,40,Oklahoma,3850568,,1906922,3202,77601,1367,58310,2501,31736,2907,29951,2479,85013,3163,131000,2178,131157,1734
0400000US41,41,Oregon,3930065,,1946196,3457,77615,2274,53379,2495,26566,2996,26858,3157,79200,4061,133697,2352,136877,1803
0400000US42,42,Pennsylvania,12773801,,6243308,3926,247755,1837,186625,2389,98767,5121,95275,5519,250987,5708,417131,2233,388829,2607
0400000US44,44,Rhode Island,1051511,,512999,1419,20658,715,16754,720,8930,1620,7453,1477,25964,2115,36265,953,32087,617
0400000US45,45,South Carolina,4774839,,2321179,4144,90239,2094,75146,3893,37767,3409,36187,3613,105490,4351,154510,2472,145518,3319
0400000US46,46,South Dakota,844877,,424160,1916,15959,1010,12848,1351,6251,1185,7679,1410,18562,1710,28988,1146,27623,798
0400000US47,47,Tennessee,6495978,,3174148,4739,129539,2345,88824,3241,47449,3371,49611,3592,133584,4710,209993,2924,208942,2724
0400000US48,48,Texas,26448193,,13145494,8622,588371,4463,394793,6258,212506,8757,208722,8618,595673,12218,964962,5656,967618,4769
0400000US49,49,Utah,2900872,,1458758,2380,70426,1068,44365,1535,18014,2739,25794,2485,80190,3333,107274,1330,116685,1591
0400000US50,50,Vermont,626630,,308672,1386,11830,563,10217,940,5423,1169,5346,1115,12594,1211,18026,556,17422,433
0400000US51,51,Virginia,8260405,,4060533,5474,159630,2654,122639,4927,60890,4347,66046,4442,180464,6468,291527,3215,286971,3807
0400000US53,53,Washington,6971406,,3475830,3303,135108,1717,88354,1872,56937,4063,54278,3829,149651,5043,253232,3187,255396,2516
0400000US54,54,West Virginia,1854304,,916834,2422,35104,1242,27489,1585,12024,1772,14276,1782,35829,2573,53041,1376,56174,1307
0400000US55,55,Wisconsin,5742713,,2855502,3237,115696,1809,81353,1488,44553,3255,42057,3196,116606,4345,183862,1862,189358,1900
0400000US56,56,Wyoming,582658,,297497,2320,11037,1137,6827,1100,5212,1298,4941,1239,14225,1338,20463,1164,21241,769
0400000US72,72,Puerto Rico,3615086,,1729120,3404,77922,2147,59519,2799,26552,3089,30901,2609,77552,3785,104403,2210,106568,1763
